bin,rows,margin_min,margin_max,avg_margin,avg_entropy,next_token_same_layer_recall
1,2670,6.287999999993188e-06,0.056292147000000015,0.026511421892097386,2.01545790346966,0.3375
2,2670,0.056305826,0.136350543,0.09394068630206001,1.9963867374706,0.34527153558052437
3,2670,0.13642141199999996,0.26562547700000005,0.1949429785973783,1.97215211580908,0.35856741573033707
4,2670,0.2656630870000001,0.836319909,0.40453722252883806,1.9122665081855896,0.3762640449438202
