policy,rows,eligible_rows,recall,eligible_recall,precision,pred_actual,full_step,full_step_eligible
prev_token_top2,10800,10680,0.13158564814814816,0.13306413857677904,0.5322565543071162,0.24722222222222223,0.0,0.0
prev_token_top4,10800,10680,0.22907407407407407,0.23164794007490636,0.4632958801498127,0.49444444444444446,0.0,0.0
prev_token_top8,10800,10680,0.350462962962963,0.3544007490636704,0.3544007490636704,0.9888888888888889,0.0008333333333333334,0.0008426966292134832
prev_layer_top2,10800,10620,0.004733796296296297,0.004814030131826742,0.019256120527306967,0.24583333333333332,0.0,0.0
prev_layer_top4,10800,10620,0.009722222222222222,0.009887005649717515,0.01977401129943503,0.49166666666666664,0.0,0.0
prev_layer_top8,10800,10620,0.019849537037037037,0.020185969868173257,0.020185969868173257,0.9833333333333333,0.0,0.0
hybrid_layer4_token4,10800,10798,0.23690972222222223,0.236953602518985,0.24139679694317995,0.981412037037037,0.0,0.0
hybrid_layer8_token8,10800,10798,0.36368055555555556,0.3637479162807927,0.18624196875222268,1.9527314814814816,0.0011111111111111111,0.0011113169105389886
