seq,expert_bytes,tensor_base,expert_idx,tensor
95,4816896,0x0,207,blk.5.ffn_down_exps.weight
96,4816896,0x0,255,blk.5.ffn_down_exps.weight
97,4030464,0x0,5,blk.6.ffn_up_exps.weight
98,4030464,0x0,21,blk.6.ffn_up_exps.weight
99,4030464,0x0,36,blk.6.ffn_up_exps.weight
100,4030464,0x0,76,blk.6.ffn_up_exps.weight
101,4030464,0x0,115,blk.6.ffn_up_exps.weight
102,4030464,0x0,142,blk.6.ffn_up_exps.weight
103,4030464,0x0,204,blk.6.ffn_up_exps.weight
104,4030464,0x0,205,blk.6.ffn_up_exps.weight
105,4030464,0x0,5,blk.6.ffn_gate_exps.weight
106,4030464,0x0,21,blk.6.ffn_gate_exps.weight
107,4030464,0x0,36,blk.6.ffn_gate_exps.weight
108,4030464,0x0,76,blk.6.ffn_gate_exps.weight
109,4030464,0x0,115,blk.6.ffn_gate_exps.weight
110,4030464,0x0,142,blk.6.ffn_gate_exps.weight
111,4030464,0x0,204,blk.6.ffn_gate_exps.weight
112,4030464,0x0,205,blk.6.ffn_gate_exps.weight
113,4816896,0x0,5,blk.6.ffn_down_exps.weight
114,4816896,0x0,21,blk.6.ffn_down_exps.weight
115,4816896,0x0,36,blk.6.ffn_down_exps.weight
116,4816896,0x0,76,blk.6.ffn_down_exps.weight
117,4816896,0x0,115,blk.6.ffn_down_exps.weight
118,4816896,0x0,142,blk.6.ffn_down_exps.weight
119,4816896,0x0,204,blk.6.ffn_down_exps.weight
120,4816896,0x0,205,blk.6.ffn_down_exps.weight
121,4030464,0x0,26,blk.7.ffn_up_exps.weight
122,4030464,0x0,47,blk.7.ffn_up_exps.weight
123,4030464,0x0,57,blk.7.ffn_up_exps.weight
124,4030464,0x0,95,blk.7.ffn_up_exps.weight
125,4030464,0x0,108,blk.7.ffn_up_exps.weight
126,4030464,0x0,137,blk.7.ffn_up_exps.weight
127,4030464,0x0,148,blk.7.ffn_up_exps.weight
128,4030464,0x0,208,blk.7.ffn_up_exps.weight
129,4030464,0x0,26,blk.7.ffn_gate_exps.weight
130,4030464,0x0,47,blk.7.ffn_gate_exps.weight
131,4030464,0x0,57,blk.7.ffn_gate_exps.weight
132,4030464,0x0,95,blk.7.ffn_gate_exps.weight
133,4030464,0x0,108,blk.7.ffn_gate_exps.weight
134,4030464,0x0,137,blk.7.ffn_gate_exps.weight
135,4030464,0x0,148,blk.7.ffn_gate_exps.weight
136,4030464,0x0,208,blk.7.ffn_gate_exps.weight
137,4816896,0x0,26,blk.7.ffn_down_exps.weight
138,4816896,0x0,47,blk.7.ffn_down_exps.weight
139,4816896,0x0,57,blk.7.ffn_down_exps.weight
140,4816896,0x0,95,blk.7.ffn_down_exps.weight
141,4816896,0x0,108,blk.7.ffn_down_exps.weight
142,4816896,0x0,137,blk.7.ffn_down_exps.weight
143,4816896,0x0,148,blk.7.ffn_down_exps.weight
144,4816896,0x0,208,blk.7.ffn_down_exps.weight
145,4030464,0x0,39,blk.8.ffn_up_exps.weight
146,4030464,0x0,79,blk.8.ffn_up_exps.weight
147,4030464,0x0,91,blk.8.ffn_up_exps.weight
148,4030464,0x0,130,blk.8.ffn_up_exps.weight
