op,role,batches,jobs,read_jobs,avg_read_jobs_per_batch,weighted_inflight_avg,max_inflight,wait_ms,wall_ms,wait_ms_per_read_job,small_read_batch_rate_le4,small_read_batch_rate_le8
runtime_load,gate,5146,26908,26908,5.228915662650603,4.118048295636992,8,15495.967272999977,17501.356748000017,0.5758869954288679,0.5242907112320249,0.9885347842984843
runtime_load,up,5146,26905,26905,5.228332685581034,3.936908899275231,8,15124.511813000046,16812.846852999908,0.5621450218546756,0.5240963855421686,0.9885347842984843
runtime_load,down,2694,19053,19053,7.072383073496659,4.640411151419724,8,9344.942361000007,11482.182108000005,0.4904709159187533,0.25686711210096513,0.9780994803266518
current_down_overlap,down,2463,11754,11754,4.7722289890377585,3.4591747947932636,8,6189.14276099999,6485.821226999993,0.5265563009188353,0.4596021112464474,1.0
