op,role,batches,jobs,read_jobs,avg_read_jobs_per_batch,weighted_inflight_avg,max_inflight,wait_ms,wall_ms,wait_ms_per_read_job,small_read_batch_rate_le4,small_read_batch_rate_le8
runtime_load,gate,5087,22517,22517,4.4263809711028115,3.4772189098014876,8,14706.035092999962,15503.109145000019,0.653108100235376,0.5303715352860232,1.0
runtime_load,up,5087,22514,22514,4.425791232553568,3.2515634732166676,8,14442.325504000046,15051.388353999931,0.641481989162301,0.5301749557696088,1.0
runtime_load,down,2635,14662,14662,5.564326375711575,3.8047380305551743,8,8392.744753999992,8732.687857000006,0.5724147288228068,0.26261859582542696,1.0
current_down_overlap,down,2463,11754,11754,4.7722289890377585,3.4591747947932636,8,6189.14276099999,6485.821226999993,0.5265563009188353,0.4596021112464474,1.0
