op,role,layer,batches,jobs,read_jobs,avg_read_jobs_per_batch,weighted_inflight_avg,max_inflight,wait_ms,wall_ms,wait_ms_per_read_job,small_read_batch_rate_le4,small_read_batch_rate_le8
runtime_load,gate,1,86,547,547,6.3604651162790695,4.361704524680073,8,367.8634860000001,537.1665909999997,0.6725109433272396,0.29069767441860467,0.9883720930232558
runtime_load,down,6,86,572,572,6.651162790697675,4.435560239510489,8,357.41835899999984,520.929566,0.6248572709790207,0.1511627906976744,0.9883720930232558
runtime_load,up,1,86,547,547,6.3604651162790695,4.21463828702011,8,345.8857569999999,422.86309500000004,0.6323322797074953,0.29069767441860467,0.9883720930232558
runtime_load,down,4,86,635,635,7.383720930232558,4.556814765354332,8,344.2106249999999,499.183133,0.5420639763779526,0.06976744186046512,0.9883720930232558
runtime_load,down,10,86,584,584,6.790697674418604,4.335404398972602,8,342.21627599999994,378.9376779999999,0.5859867739726027,0.10465116279069768,0.9883720930232558
runtime_load,down,7,86,585,585,6.8023255813953485,4.482446119658121,8,338.61510300000003,378.032377,0.578829235897436,0.16279069767441862,0.9883720930232558
runtime_load,down,9,86,562,562,6.534883720930233,4.387723060498221,8,331.80877200000003,363.12970200000007,0.5904070676156584,0.20930232558139536,0.9883720930232558
runtime_load,gate,29,86,515,515,5.988372093023256,4.424745421359224,8,327.5719840000001,359.2596170000002,0.6360621048543691,0.32558139534883723,0.9883720930232558
runtime_load,down,8,86,540,540,6.27906976744186,4.196431648148148,8,326.4261640000002,361.074491,0.6044928962962967,0.22093023255813954,0.9883720930232558
runtime_load,down,25,86,560,560,6.511627906976744,4.243524683928572,8,319.74176799999987,348.993202,0.5709674428571426,0.19767441860465115,0.9883720930232558
runtime_load,up,7,86,496,496,5.767441860465116,4.217602758064516,8,314.03674800000005,348.61866899999995,0.6331386048387098,0.4186046511627907,0.9883720930232558
runtime_load,up,9,86,491,491,5.709302325581396,4.0314177250509164,8,313.32582800000006,338.584116,0.6381381425661916,0.3953488372093023,0.9883720930232558
runtime_load,up,29,86,515,515,5.988372093023256,3.9686099145631073,8,311.84058199999987,339.8427789999999,0.6055156932038832,0.32558139534883723,0.9883720930232558
runtime_load,down,24,86,566,566,6.5813953488372094,4.290222201413427,8,308.09735500000005,348.681003,0.5443416166077739,0.22093023255813954,0.9883720930232558
runtime_load,down,23,86,554,554,6.441860465116279,4.204875705776173,8,307.41052800000006,345.7343200000001,0.5548926498194947,0.2441860465116279,0.9883720930232558
runtime_load,gate,28,86,502,502,5.837209302325581,4.418334782868526,8,306.205788,342.3688759999999,0.6099716892430278,0.3023255813953488,0.9883720930232558
runtime_load,gate,7,86,496,496,5.767441860465116,4.148448262096774,8,306.01299100000017,337.10784299999995,0.6169616754032261,0.4186046511627907,0.9883720930232558
runtime_load,down,20,86,544,544,6.325581395348837,4.116622836397059,8,304.4567100000001,343.2933040000001,0.5596630698529413,0.23255813953488372,0.9883720930232558
runtime_load,gate,9,86,492,492,5.72093023255814,3.987239528455284,8,304.13135,329.754075,0.6181531504065041,0.3953488372093023,0.9883720930232558
runtime_load,down,1,86,632,632,7.348837209302325,4.559840227848101,8,302.02868699999993,436.83162700000014,0.4778934920886075,0.08139534883720931,0.9883720930232558
runtime_load,gate,33,86,476,476,5.534883720930233,4.362610804621848,8,301.2331229999999,333.41025400000007,0.6328426953781511,0.4418604651162791,0.9883720930232558
runtime_load,gate,30,86,484,484,5.627906976744186,4.374959183884297,8,300.996457,327.0905500000001,0.6218935061983472,0.43023255813953487,0.9883720930232558
runtime_load,down,18,86,501,501,5.825581395348837,3.9777920039920165,8,300.28548399999994,327.56695999999994,0.5993722235528941,0.3488372093023256,0.9883720930232558
runtime_load,up,8,86,468,468,5.441860465116279,4.008801416666667,8,299.6540109999999,321.741521,0.640286348290598,0.43023255813953487,0.9883720930232558
runtime_load,gate,10,86,523,523,6.0813953488372094,4.183046573613766,8,295.89314899999994,323.765982,0.5657612791586997,0.2441860465116279,0.9883720930232558
runtime_load,down,19,86,520,520,6.046511627906977,4.1833059,8,294.6986830000001,332.1785639999999,0.5667282365384617,0.3488372093023256,0.9883720930232558
runtime_load,gate,31,85,471,471,5.541176470588235,4.307182265392781,8,294.68719300000004,320.05396100000013,0.62566283014862,0.47058823529411764,0.9882352941176471
runtime_load,down,26,86,524,524,6.093023255813954,4.177873194656489,8,294.197616,326.3120779999999,0.5614458320610687,0.3372093023255814,0.9883720930232558
runtime_load,up,10,86,523,523,6.0813953488372094,4.060716258126195,8,293.4654789999999,318.686588,0.5611194627151049,0.2441860465116279,0.9883720930232558
runtime_load,down,22,86,510,510,5.930232558139535,4.155995498039214,8,293.4263920000001,321.67740000000015,0.5753458666666669,0.38372093023255816,0.9883720930232558
