seq,expert_bytes,tensor_base,expert_idx,tensor
168,4816896,0x0,156,blk.8.ffn_down_exps.weight
169,4030464,0x0,19,blk.9.ffn_up_exps.weight
170,4030464,0x0,105,blk.9.ffn_up_exps.weight
171,4030464,0x0,110,blk.9.ffn_up_exps.weight
172,4030464,0x0,131,blk.9.ffn_up_exps.weight
173,4030464,0x0,194,blk.9.ffn_up_exps.weight
174,4030464,0x0,211,blk.9.ffn_up_exps.weight
175,4030464,0x0,220,blk.9.ffn_up_exps.weight
176,4030464,0x0,236,blk.9.ffn_up_exps.weight
177,4030464,0x0,19,blk.9.ffn_gate_exps.weight
178,4030464,0x0,105,blk.9.ffn_gate_exps.weight
179,4030464,0x0,110,blk.9.ffn_gate_exps.weight
180,4030464,0x0,131,blk.9.ffn_gate_exps.weight
181,4030464,0x0,194,blk.9.ffn_gate_exps.weight
182,4030464,0x0,211,blk.9.ffn_gate_exps.weight
183,4030464,0x0,220,blk.9.ffn_gate_exps.weight
184,4030464,0x0,236,blk.9.ffn_gate_exps.weight
185,4816896,0x0,19,blk.9.ffn_down_exps.weight
186,4816896,0x0,105,blk.9.ffn_down_exps.weight
187,4816896,0x0,110,blk.9.ffn_down_exps.weight
188,4816896,0x0,131,blk.9.ffn_down_exps.weight
189,4816896,0x0,194,blk.9.ffn_down_exps.weight
190,4816896,0x0,211,blk.9.ffn_down_exps.weight
191,4816896,0x0,220,blk.9.ffn_down_exps.weight
192,4816896,0x0,236,blk.9.ffn_down_exps.weight
193,4030464,0x0,10,blk.10.ffn_up_exps.weight
194,4030464,0x0,25,blk.10.ffn_up_exps.weight
195,4030464,0x0,34,blk.10.ffn_up_exps.weight
197,4030464,0x0,148,blk.10.ffn_up_exps.weight
198,4030464,0x0,156,blk.10.ffn_up_exps.weight
199,4030464,0x0,223,blk.10.ffn_up_exps.weight
201,4030464,0x0,10,blk.10.ffn_gate_exps.weight
202,4030464,0x0,25,blk.10.ffn_gate_exps.weight
203,4030464,0x0,34,blk.10.ffn_gate_exps.weight
205,4030464,0x0,148,blk.10.ffn_gate_exps.weight
206,4030464,0x0,156,blk.10.ffn_gate_exps.weight
207,4030464,0x0,223,blk.10.ffn_gate_exps.weight
209,4816896,0x0,10,blk.10.ffn_down_exps.weight
210,4816896,0x0,25,blk.10.ffn_down_exps.weight
211,4816896,0x0,34,blk.10.ffn_down_exps.weight
213,4816896,0x0,148,blk.10.ffn_down_exps.weight
214,4816896,0x0,156,blk.10.ffn_down_exps.weight
215,4816896,0x0,223,blk.10.ffn_down_exps.weight
219,4030464,0x0,27,blk.11.ffn_up_exps.weight
220,4030464,0x0,51,blk.11.ffn_up_exps.weight
221,4030464,0x0,145,blk.11.ffn_up_exps.weight
