1781580774399,41, 32071, 0
1781580775427,42, 32070, 0
1781580776462,44, 32068, 0
1781580777497,44, 32068, 0
1781580778541,44, 32068, 0
1781580779575,44, 32068, 0
1781580780613,44, 32068, 0
1781580781646,44, 32068, 0
1781580782675,44, 32068, 0
1781580783709,44, 32068, 0
1781580784744,44, 32068, 0
1781580785784,44, 32068, 0
1781580786817,44, 32068, 0
1781580787851,1315, 30797, 6
1781580788881,2083, 30029, 5
1781580789906,2851, 29261, 6
1781580790933,3877, 28235, 6
1781580791959,4645, 27467, 4
1781580793003,5669, 26443, 6
1781580794039,6693, 25419, 8
1781580795829,6949, 25163, 0
