op,role,layer,batches,jobs,read_jobs,avg_read_jobs_per_batch,weighted_inflight_avg,max_inflight,wait_ms,wall_ms,wait_ms_per_read_job,small_read_batch_rate_le4,small_read_batch_rate_le8
runtime_load,gate,1,31,168,168,5.419354838709677,4.1230158035714295,8,124.01016399999996,239.80684,0.7381557380952378,0.2903225806451613,1.0
runtime_load,down,10,31,189,189,6.096774193548387,4.131834248677249,8,117.87862600000001,121.87225100000002,0.6236964338624339,0.16129032258064516,1.0
runtime_load,up,1,31,168,168,5.419354838709677,3.738633779761904,8,116.704505,214.672852,0.6946696726190476,0.2903225806451613,1.0
runtime_load,down,9,31,175,175,5.645161290322581,3.878380977142857,8,116.01450700000002,119.99726099999998,0.6629400400000002,0.22580645161290322,1.0
runtime_load,down,4,31,201,201,6.483870967741935,4.079815228855722,8,114.019798,118.506719,0.5672626766169154,0.0967741935483871,1.0
runtime_load,down,7,31,184,184,5.935483870967742,3.9457427608695657,8,113.19239400000001,117.47394200000002,0.6151760543478261,0.1935483870967742,1.0
runtime_load,down,6,31,183,183,5.903225806451613,3.8185402021857926,8,112.674945,117.020582,0.6157100819672131,0.22580645161290322,1.0
runtime_load,gate,28,31,160,160,5.161290322580645,4.200000006250001,8,111.74725600000002,115.29078700000002,0.6984203500000001,0.2903225806451613,1.0
runtime_load,gate,29,31,165,165,5.32258064516129,4.215151503030303,8,110.029515,114.033079,0.6668455454545454,0.2903225806451613,1.0
runtime_load,down,18,31,173,173,5.580645161290323,3.797096080924856,8,109.47239800000001,113.15342800000002,0.6327884277456648,0.22580645161290322,1.0
runtime_load,down,24,31,188,188,6.064516129032258,4.060195085106383,8,108.99654500000001,112.80862799999998,0.5797688563829788,0.1935483870967742,1.0
runtime_load,down,23,31,184,184,5.935483870967742,3.806845233695652,8,107.432988,111.62927400000001,0.5838749347826087,0.12903225806451613,1.0
runtime_load,down,16,31,180,180,5.806451612903226,3.9285185,8,107.05848499999999,110.932746,0.594769361111111,0.1935483870967742,1.0
runtime_load,down,8,31,168,168,5.419354838709677,3.739980142857143,8,105.99785599999998,109.673678,0.630939619047619,0.25806451612903225,1.0
runtime_load,gate,51,31,142,142,4.580645161290323,3.685563373239437,8,105.52494400000002,108.92749999999998,0.7431334084507044,0.4838709677419355,1.0
runtime_load,up,29,31,165,165,5.32258064516129,3.497662345454546,8,105.08062199999999,108.62930300000002,0.6368522545454545,0.2903225806451613,1.0
runtime_load,up,28,31,160,160,5.161290322580645,3.3307142999999995,8,104.25369300000003,107.82782999999998,0.6515855812500002,0.2903225806451613,1.0
runtime_load,down,25,31,172,172,5.548387096774194,3.7825997034883723,8,104.047509,107.84905400000002,0.6049273779069768,0.25806451612903225,1.0
runtime_load,gate,10,31,163,163,5.258064516129032,3.904192208588957,8,103.76756900000001,107.670898,0.6366108527607363,0.3225806451612903,1.0
runtime_load,down,15,31,155,155,5.0,3.6745468774193553,8,103.46695000000001,106.83492299999997,0.6675287096774194,0.45161290322580644,1.0
runtime_load,down,20,31,172,172,5.548387096774194,3.733430180232558,8,103.19203500000002,106.79873699999999,0.5999536918604652,0.25806451612903225,1.0
runtime_load,up,10,31,163,163,5.258064516129032,3.4288343742331286,8,102.371793,106.34334600000001,0.6280478098159509,0.3225806451612903,1.0
runtime_load,down,19,31,167,167,5.387096774193548,3.8381237844311378,8,102.21685099999999,106.03426,0.6120769520958084,0.3225806451612903,1.0
runtime_load,up,51,31,142,142,4.580645161290323,3.1489772112676055,8,101.03485700000002,104.642174,0.7115130774647889,0.4838709677419355,1.0
runtime_load,gate,48,31,129,129,4.161290322580645,3.4024547674418604,8,100.675274,104.26778900000001,0.780428480620155,0.5806451612903226,1.0
runtime_load,up,9,31,143,143,4.612903225806452,3.4679487132867135,8,100.509282,103.987867,0.7028621118881119,0.4838709677419355,1.0
runtime_load,gate,33,31,144,144,4.645161290322581,3.78835975,8,100.29305899999999,104.08110899999997,0.6964795763888888,0.41935483870967744,1.0
runtime_load,down,21,31,165,165,5.32258064516129,3.642929321212122,8,100.066957,103.40790400000002,0.6064664060606061,0.22580645161290322,1.0
runtime_load,down,26,31,167,167,5.387096774193548,3.7237525748503,8,100.03003799999999,103.61058999999997,0.5989822634730538,0.3548387096774194,1.0
runtime_load,gate,32,31,145,145,4.67741935483871,3.820229896551724,8,99.84780199999999,103.445497,0.6886055310344826,0.5161290322580645,1.0
runtime_load,gate,9,31,144,144,4.645161290322581,3.4241898125,8,99.63555000000001,103.10065599999999,0.6919135416666667,0.4838709677419355,1.0
runtime_load,gate,24,31,161,161,5.193548387096774,3.7894409751552796,8,99.311418,103.159779,0.6168411055900621,0.3870967741935484,1.0
runtime_load,down,22,31,161,161,5.193548387096774,3.6449867204968944,8,99.23117799999999,102.532145,0.6163427204968943,0.41935483870967744,1.0
runtime_load,gate,52,31,136,136,4.387096774193548,3.7432597941176473,8,99.11150799999999,102.48020700000001,0.7287610882352941,0.5161290322580645,1.0
runtime_load,down,1,31,213,213,6.870967741935484,4.332159624413146,8,98.340179,103.28051500000001,0.4616909812206573,0.03225806451612903,1.0
runtime_load,up,24,31,161,161,5.193548387096774,3.3850931677018634,8,98.11696200000002,101.86855699999997,0.6094221242236025,0.3870967741935484,1.0
runtime_load,gate,30,31,140,140,4.516129032258065,3.576258492857143,8,97.374477,100.77662500000001,0.6955319785714286,0.4838709677419355,1.0
runtime_load,down,58,31,154,154,4.967741935483871,3.723593051948052,8,97.18228900000003,100.785776,0.6310538246753249,0.45161290322580644,1.0
runtime_load,up,48,31,129,129,4.161290322580645,2.902879317829458,8,96.64778700000001,99.78324700000002,0.7492076511627908,0.5806451612903226,1.0
runtime_load,up,8,31,137,137,4.419354838709677,3.3461070364963503,8,96.63393900000001,100.03863299999999,0.7053572189781023,0.5161290322580645,1.0
runtime_load,gate,31,31,138,138,4.451612903225806,3.80531402173913,8,96.55726200000004,99.89977500000002,0.6996903043478263,0.5161290322580645,1.0
runtime_load,up,52,31,136,136,4.387096774193548,3.0979867132352936,8,96.22987699999997,99.68036099999999,0.7075726249999998,0.5161290322580645,1.0
runtime_load,down,5,31,212,212,6.838709677419355,4.270215636792453,8,95.23470699999999,100.23006700000005,0.44922031603773577,0.03225806451612903,1.0
runtime_load,down,57,31,149,149,4.806451612903226,3.605864489932886,8,95.12146399999999,98.698845,0.6383990872483221,0.45161290322580644,1.0
runtime_load,up,7,31,135,135,4.354838709677419,3.32162257037037,8,95.035959,98.580218,0.7039700666666667,0.5806451612903226,1.0
runtime_load,gate,55,31,132,132,4.258064516129032,3.5542929393939393,7,95.02354600000001,98.26175299999997,0.7198753484848486,0.5483870967741935,1.0
runtime_load,up,33,31,144,144,4.645161290322581,3.333779770833333,8,94.97559100000001,98.24125699999998,0.6595527152777778,0.41935483870967744,1.0
runtime_load,gate,12,31,148,148,4.774193548387097,3.726737452702703,8,94.040072,98.66942300000001,0.6354058918918919,0.3548387096774194,1.0
runtime_load,gate,8,31,137,137,4.419354838709677,3.1980535474452556,8,94.024625,97.732894,0.6863111313868613,0.5161290322580645,1.0
runtime_load,gate,36,31,134,134,4.32258064516129,3.80870647761194,8,93.93909799999999,97.356582,0.7010380447761193,0.5161290322580645,1.0
current_down_overlap,down,29,31,203,203,6.548387096774194,3.9542458325123153,8,93.810905,98.144463,0.4621226847290641,0.0967741935483871,1.0
runtime_load,up,32,31,145,145,4.67741935483871,3.29400655862069,8,93.642065,97.049855,0.6458073448275862,0.5161290322580645,1.0
runtime_load,up,31,31,137,137,4.419354838709677,3.1531108613138685,8,93.268979,96.53567100000001,0.6807954671532847,0.5161290322580645,1.0
runtime_load,up,12,31,148,148,4.774193548387097,3.301013493243243,8,93.20219200000001,96.73124099999998,0.6297445405405406,0.3548387096774194,1.0
runtime_load,gate,16,31,145,145,4.67741935483871,3.7363218344827587,8,93.107587,96.61696900000001,0.6421212896551723,0.5161290322580645,1.0
runtime_load,up,30,31,140,140,4.516129032258065,3.0701870571428573,8,92.70850300000001,96.29909700000002,0.6622035928571429,0.4838709677419355,1.0
runtime_load,gate,14,31,121,121,3.903225806451613,3.465564727272727,8,92.69886200000002,180.61336399999996,0.7661062975206613,0.7096774193548387,1.0
runtime_load,gate,7,31,135,135,4.354838709677419,3.2666313407407412,8,92.48053900000002,96.07868700000002,0.6850410296296298,0.5806451612903226,1.0
runtime_load,up,16,31,145,145,4.67741935483871,3.339885027586207,8,91.79796699999997,95.18948199999997,0.6330894275862067,0.5161290322580645,1.0
runtime_load,down,60,32,189,189,5.90625,3.9696901005291,8,91.782474,96.359667,0.48562155555555553,0.25,1.0
runtime_load,down,3,31,192,192,6.193548387096774,4.181510416666666,8,91.49934999999998,95.55538099999998,0.4765591145833332,0.03225806451612903,1.0
runtime_load,gate,34,31,130,130,4.193548387096774,3.5305128,8,91.38210299999997,94.733512,0.7029392538461536,0.5806451612903226,1.0
runtime_load,up,36,31,135,135,4.354838709677419,3.1191357555555554,8,90.59343100000001,93.94916800000003,0.6710624518518519,0.4838709677419355,1.0
current_down_overlap,down,28,31,189,189,6.096774193548387,4.045502661375662,8,90.518546,94.54930999999999,0.4789341058201058,0.16129032258064516,1.0
runtime_load,up,55,31,132,132,4.258064516129032,2.934090916666667,7,90.06628199999999,93.324163,0.682320318181818,0.5483870967741935,1.0
runtime_load,gate,23,31,144,144,4.645161290322581,3.5437500277777776,8,90.04365600000003,93.52327500000001,0.6253031666666669,0.45161290322580644,1.0
runtime_load,up,23,31,144,144,4.645161290322581,3.202943125,8,89.500246,92.73222099999998,0.6215294861111111,0.45161290322580644,1.0
runtime_load,gate,25,31,144,144,4.645161290322581,3.519212951388889,8,89.326395,92.736031,0.6203221875,0.41935483870967744,1.0
runtime_load,down,2,31,189,189,6.096774193548387,4.062698391534392,8,88.85635599999998,92.986108,0.47013944973544963,0.22580645161290322,1.0
runtime_load,up,25,31,144,144,4.645161290322581,3.25107475,8,88.49708700000001,91.70624700000002,0.6145631041666667,0.41935483870967744,1.0
runtime_load,gate,26,31,139,139,4.483870967741935,3.404230913669065,8,88.33122200000004,91.732919,0.6354764172661873,0.5483870967741935,1.0
runtime_load,gate,49,31,118,118,3.806451612903226,3.1419491864406783,8,88.27763499999999,91.34861500000002,0.7481155508474575,0.7096774193548387,1.0
runtime_load,gate,54,31,115,115,3.7096774193548385,3.1497101304347828,7,88.17454200000002,174.22087599999998,0.7667351478260871,0.8387096774193549,1.0
runtime_load,gate,35,31,121,121,3.903225806451613,3.2721763223140496,8,88.13560199999999,91.1391,0.7283934049586777,0.6774193548387096,1.0
runtime_load,gate,27,31,140,140,4.516129032258065,3.296547628571429,8,87.884946,91.223917,0.6277496142857143,0.4838709677419355,1.0
runtime_load,up,34,31,130,130,4.193548387096774,3.100641023076923,8,87.87265799999997,91.04144299999999,0.6759435230769228,0.5806451612903226,1.0
runtime_load,up,26,31,139,139,4.483870967741935,3.1891058417266187,8,87.526317,90.80735299999999,0.6296857338129497,0.5483870967741935,1.0
runtime_load,gate,53,31,116,116,3.7419354838709675,3.206896551724138,6,87.46371499999998,90.69892100000001,0.7539975431034481,0.8064516129032258,1.0
runtime_load,up,27,31,140,140,4.516129032258065,3.218571442857143,8,87.33000499999999,90.79912500000002,0.6237857499999999,0.4838709677419355,1.0
runtime_load,gate,18,31,138,138,4.451612903225806,3.5634920579710148,8,86.998056,90.430165,0.630420695652174,0.5161290322580645,1.0
runtime_load,gate,42,31,107,107,3.4516129032258065,3.138161981308411,8,86.67135,89.403935,0.81001261682243,0.7741935483870968,1.0
current_down_overlap,down,51,31,173,173,5.580645161290323,3.8736030578034684,8,86.53255700000003,90.46526500000002,0.5001881907514453,0.16129032258064516,1.0
current_down_overlap,down,32,31,180,180,5.806451612903226,3.7448148000000008,8,86.477411,90.49612300000001,0.48043006111111114,0.12903225806451613,1.0
runtime_load,down,12,31,172,172,5.548387096774194,3.843604656976744,8,86.47042699999997,90.25822000000001,0.5027350406976743,0.1935483870967742,1.0
runtime_load,up,18,31,138,138,4.451612903225806,3.257487905797101,8,86.18707400000001,89.31489600000003,0.6245440144927537,0.5161290322580645,1.0
runtime_load,gate,17,31,132,132,4.258064516129032,3.639448060606061,8,85.80522300000001,89.18431100000001,0.6500395681818183,0.5483870967741935,1.0
runtime_load,up,17,31,132,132,4.258064516129032,3.248683234848485,8,85.48891800000001,88.73121900000001,0.6476433181818183,0.5483870967741935,1.0
runtime_load,up,20,31,133,133,4.290322580645161,3.0584854736842106,8,85.42966,88.61193700000003,0.6423282706766917,0.6451612903225806,1.0
runtime_load,gate,20,31,133,133,4.290322580645161,3.501253135338346,8,85.38291900000002,88.44076999999999,0.6419768345864663,0.6451612903225806,1.0
current_down_overlap,down,55,31,163,163,5.258064516129032,3.705521472392638,8,85.25773499999998,89.158938,0.5230535889570551,0.25806451612903225,1.0
runtime_load,gate,19,31,132,132,4.258064516129032,3.619877378787879,8,85.21984299999998,88.36607199999999,0.6456048712121211,0.5483870967741935,1.0
runtime_load,up,49,31,118,118,3.806451612903226,2.7902542711864404,8,85.160168,88.19024200000001,0.7216963389830509,0.7096774193548387,1.0
current_down_overlap,down,30,31,172,172,5.548387096774194,3.8029485,8,85.09599599999999,89.188248,0.4947441627906976,0.2903225806451613,1.0
runtime_load,gate,41,31,109,109,3.5161290322580645,3.19648319266055,8,84.95397200000001,87.99502600000002,0.7793942385321102,0.7096774193548387,1.0
current_down_overlap,down,36,31,163,163,5.258064516129032,3.734312,8,84.69668200000001,88.379984,0.51961154601227,0.3870967741935484,1.0
runtime_load,gate,38,31,118,118,3.806451612903226,3.2966101694915255,8,84.64739200000002,87.72365899999998,0.7173507796610171,0.6774193548387096,1.0
runtime_load,gate,44,31,113,113,3.6451612903225805,3.2035398230088497,8,84.63359900000002,87.59992799999999,0.7489699026548674,0.7419354838709677,1.0
runtime_load,gate,47,31,110,110,3.5483870967741935,3.081515136363637,8,83.95517600000001,86.65978899999999,0.7632288727272728,0.8064516129032258,1.0
runtime_load,up,53,31,116,116,3.7419354838709675,2.586206896551724,6,83.86887099999998,86.920067,0.7230075086206895,0.8064516129032258,1.0
runtime_load,gate,39,31,112,112,3.6129032258064515,3.3511905000000004,8,83.60315200000002,86.54484900000001,0.7464567142857145,0.7419354838709677,1.0
runtime_load,up,19,31,132,132,4.258064516129032,3.3142496363636362,8,83.493476,86.63637400000002,0.6325263333333333,0.5483870967741935,1.0
runtime_load,up,35,31,121,121,3.903225806451613,2.962121247933884,8,83.41481399999999,86.29271700000001,0.6893786280991735,0.6774193548387096,1.0
runtime_load,up,42,31,107,107,3.4516129032258065,2.6448598130841123,8,83.31982500000001,86.36990099999998,0.7786899532710281,0.7741935483870968,1.0
current_down_overlap,down,31,31,166,166,5.354838709677419,3.845152,8,83.05397899999998,87.02732,0.5003251746987951,0.3548387096774194,1.0
runtime_load,down,27,31,175,175,5.645161290322581,3.7542857485714283,8,82.97554500000001,86.536815,0.4741459714285715,0.16129032258064516,1.0
runtime_load,gate,11,31,126,126,4.064516129032258,3.2580687936507937,8,82.84987500000001,86.002676,0.6575386904761905,0.6451612903225806,1.0
current_down_overlap,down,48,31,157,157,5.064516129032258,3.6496815414012733,8,82.49858,86.32792399999998,0.5254686624203821,0.41935483870967744,1.0
runtime_load,up,11,31,126,126,4.064516129032258,2.933201071428572,8,82.481706,85.50043500000001,0.6546167142857143,0.6451612903225806,1.0
runtime_load,gate,43,31,107,107,3.4516129032258065,3.1222741682242994,8,82.01964499999998,85.04455000000002,0.7665387383177569,0.7741935483870968,1.0
runtime_load,gate,37,31,113,113,3.6451612903225805,3.222566371681416,8,81.884016,84.905197,0.7246373097345133,0.6451612903225806,1.0
current_down_overlap,down,52,31,158,158,5.096774193548387,3.6898734556962025,8,81.855597,85.70568200000001,0.5180733987341772,0.3225806451612903,1.0
current_down_overlap,down,14,31,159,159,5.129032258064516,3.770335433962264,8,81.764437,85.43374800000001,0.5142417421383648,0.3870967741935484,1.0
runtime_load,gate,15,31,123,123,3.967741935483871,3.1991869674796742,8,81.65637899999997,84.691228,0.6638729999999998,0.7096774193548387,1.0
runtime_load,up,15,31,123,123,3.967741935483871,3.044909008130081,8,81.38004,84.59931,0.6616263414634146,0.7096774193548387,1.0
runtime_load,down,11,31,161,161,5.193548387096774,3.5560041428571436,8,81.03661000000002,84.37458200000002,0.5033329813664598,0.3225806451612903,1.0
runtime_load,up,47,31,110,110,3.5483870967741935,2.6598484818181816,8,81.02314899999999,83.872341,0.7365740818181817,0.8064516129032258,1.0
runtime_load,up,54,31,115,115,3.7096774193548385,2.6492753478260873,7,80.956148,90.46418,0.703966504347826,0.8387096774193549,1.0
runtime_load,up,41,31,109,109,3.5161290322580645,2.688947119266055,8,80.95281400000002,83.52295600000002,0.7426863669724773,0.7096774193548387,1.0
runtime_load,up,44,31,113,113,3.6451612903225805,2.8873998938053096,8,80.85704399999997,83.734448,0.7155490619469024,0.7419354838709677,1.0
runtime_load,gate,46,31,102,102,3.2903225806451615,3.0294117647058822,8,80.85010700000001,83.712135,0.7926481078431373,0.8064516129032258,1.0
