scope,prompt,top_k,kind,calls,predictable_call_ratio,actual_events,recall,precision,byte_recall,predicted_to_actual_byte_ratio
fold,dev_photosynthesis_factual,16,up,5641,1.0,45128,0.12231873781244461,0.061159368906222304,0.12270964262750711,2.0
fold,dev_python_reverse,16,all,16438,1.0,131504,0.07301679036379122,0.03650839518189561,0.07308610972712182,2.0
fold,dev_python_reverse,16,down,5036,1.0,40288,0.07193208895949166,0.03596604447974583,0.07365832762165866,2.0
fold,dev_python_reverse,16,gate,5701,1.0,45608,0.07349587791615506,0.03674793895807753,0.0720910896051088,2.0
fold,dev_python_reverse,16,up,5701,1.0,45608,0.07349587791615506,0.03674793895807753,0.07347647447553453,2.0
fold,dev_zh_france,16,all,8480,1.0,67840,0.30057488207547167,0.15028744103773584,0.2988630076487032,2.0
fold,dev_zh_france,16,down,2598,1.0,20784,0.30104888375673594,0.15052444187836797,0.30166274728632736,2.0
fold,dev_zh_france,16,gate,2941,1.0,23528,0.3003655219313159,0.15018276096565794,0.297558637591351,2.0
fold,dev_zh_france,16,up,2941,1.0,23528,0.3003655219313159,0.15018276096565794,0.2969198790627362,2.0
aggregate,all,32,all,84445,1.0,675560,0.2846897388832968,0.0711724347208242,0.28456035389638634,4.0
aggregate,all,32,down,25871,1.0,206968,0.2846382049398941,0.07115955123497353,0.28587754572447704,4.0
aggregate,all,32,gate,29287,1.0,234296,0.2847125004268105,0.07117812510670263,0.28358091064897173,4.0
aggregate,all,32,up,29287,1.0,234296,0.2847125004268105,0.07117812510670263,0.2840416075744562,4.0
fold,dev_france_regression,32,all,13324,1.0,106592,0.46175135094566194,0.11543783773641549,0.46148253569156067,4.0
fold,dev_france_regression,32,down,4082,1.0,32656,0.4632226849583537,0.11580567123958843,0.46339346868367426,4.0
fold,dev_france_regression,32,gate,4621,1.0,36968,0.4611014931832937,0.11527537329582342,0.46107249418013707,4.0
fold,dev_france_regression,32,up,4621,1.0,36968,0.4611014931832937,0.11527537329582342,0.459637071658978,4.0
fold,dev_japan_factual,32,all,14708,1.0,117664,0.391105180853957,0.09777629521348925,0.3911590168842725,4.0
fold,dev_japan_factual,32,down,4506,1.0,36048,0.3926708832667554,0.09816772081668886,0.3940638285648627,4.0
fold,dev_japan_factual,32,gate,5101,1.0,40808,0.3904136443834542,0.09760341109586355,0.38956544984703123,4.0
fold,dev_japan_factual,32,up,5101,1.0,40808,0.3904136443834542,0.09760341109586355,0.38940267628183073,4.0
fold,dev_linear_equation,32,all,5885,1.0,47080,0.17873831775700935,0.04468457943925234,0.17880851145665422,4.0
fold,dev_linear_equation,32,down,1803,1.0,14424,0.17630338325013867,0.04407584581253467,0.17873842958198125,4.0
fold,dev_linear_equation,32,gate,2041,1.0,16328,0.1798138167564919,0.04495345418912298,0.17765146293095221,4.0
fold,dev_linear_equation,32,up,2041,1.0,16328,0.1798138167564919,0.04495345418912298,0.1801433075379765,4.0
fold,dev_mixed_summary,32,all,9345,1.0,74760,0.22573568753344034,0.056433921883360084,0.22635896910803271,4.0
fold,dev_mixed_summary,32,down,2863,1.0,22904,0.2270345791128187,0.05675864477820468,0.22754447250872573,4.0
fold,dev_mixed_summary,32,gate,3241,1.0,25928,0.2251619870410367,0.05629049676025918,0.22573412049126135,4.0
fold,dev_mixed_summary,32,up,3241,1.0,25928,0.2251619870410367,0.05629049676025918,0.2256145987509476,4.0
fold,dev_photosynthesis_factual,32,all,16265,1.0,130120,0.21067476175837688,0.05266869043959422,0.2106339296897437,4.0
fold,dev_photosynthesis_factual,32,down,4983,1.0,39864,0.2088852097130243,0.052221302428256074,0.20973516688659607,4.0
