scope,prompt,kind,calls,predictable_call_ratio,actual_events,recall,precision,byte_recall,predicted_to_actual_byte_ratio
aggregate,all,all,32760,0.989010989010989,283491,0.32723790173233014,0.3305964484642441,0.32598575292407816,0.9898399885128363
aggregate,all,down,10920,0.989010989010989,94497,0.32723790173233014,0.3305964484642441,0.32522357577324307,0.9898372629546026
aggregate,all,gate,10920,0.989010989010989,94497,0.32723790173233014,0.3305964484642441,0.3283307974909471,0.9898447240167744
aggregate,all,up,10920,0.989010989010989,94497,0.32723790173233014,0.3305964484642441,0.324511519555937,0.9898386655322353
prompt,dev_france_regression,all,15480,0.9883720930232558,135597,0.32478594659173876,0.3282720991077618,0.32358576652530724,0.9893793470253068
prompt,dev_france_regression,down,5160,0.9883720930232558,45199,0.32478594659173876,0.3282720991077618,0.3216187813225426,0.9893757352938445
prompt,dev_france_regression,gate,5160,0.9883720930232558,45199,0.32478594659173876,0.3282720991077618,0.3270252274771422,0.9893849584823401
prompt,dev_france_regression,up,5160,0.9883720930232558,45199,0.32478594659173876,0.3282720991077618,0.3226068706460371,0.989378311186691
prompt,dev_intelligence_general,all,17280,0.9895833333333334,147894,0.32948598320418676,0.33272563398746363,0.32818620788569636,0.9902623329258214
prompt,dev_intelligence_general,down,5760,0.9895833333333334,49298,0.32948598320418676,0.33272563398746363,0.3285282180480266,0.990260361647075
prompt,dev_intelligence_general,gate,5760,0.9895833333333334,49298,0.32948598320418676,0.33272563398746363,0.32952796722431105,0.9902663156406999
prompt,dev_intelligence_general,up,5760,0.9895833333333334,49298,0.32948598320418676,0.33272563398746363,0.3262579280782405,0.9902607731176066
