prompt,predictor,horizon,budget,bundle,samples,targets,predicted,hits,recall,precision,full_step_pct,pred_over_actual_bytes,target_gib,predicted_gib,useful_gib,waste_gib
dev_france_regression,hybrid_cooc,1,64,down,1829,14632,117056,11629,0.7948,0.0993,0.1930,8.0000,93.2422,745.9375,74.1718,671.7657
dev_france_regression,hybrid_recent,1,8,all,1829,14632,14632,5734,0.3919,0.3919,0.0016,1.0000,232.4167,232.4167,90.7616,141.6552
dev_france_regression,hybrid_recent,1,8,upgate,1829,14632,14632,5734,0.3919,0.3919,0.0016,1.0000,139.1746,139.1746,54.5974,84.5772
dev_france_regression,hybrid_recent,1,8,down,1829,14632,14632,5734,0.3919,0.3919,0.0016,1.0000,93.2422,93.2422,36.1642,57.0779
dev_france_regression,hybrid_recent,1,12,all,1829,14632,21948,7365,0.5033,0.3356,0.0060,1.5000,232.4167,348.6251,116.7484,231.8767
dev_france_regression,hybrid_recent,1,12,upgate,1829,14632,21948,7365,0.5033,0.3356,0.0060,1.5000,139.1746,208.7618,70.0258,138.7360
dev_france_regression,hybrid_recent,1,12,down,1829,14632,21948,7365,0.5033,0.3356,0.0060,1.5000,93.2422,139.8633,46.7226,93.1407
dev_france_regression,hybrid_recent,1,16,all,1829,14632,29264,8217,0.5616,0.2808,0.0131,2.0000,232.4167,464.8335,130.2893,334.5442
dev_france_regression,hybrid_recent,1,16,upgate,1829,14632,29264,8217,0.5616,0.2808,0.0131,2.0000,139.1746,278.3491,78.0837,200.2654
dev_france_regression,hybrid_recent,1,16,down,1829,14632,29264,8217,0.5616,0.2808,0.0131,2.0000,93.2422,186.4844,52.2056,134.2787
dev_france_regression,hybrid_recent,1,24,all,1829,14632,43896,9170,0.6267,0.2089,0.0334,3.0000,232.4167,697.2502,145.4141,551.8362
dev_france_regression,hybrid_recent,1,24,upgate,1829,14632,43896,9170,0.6267,0.2089,0.0334,3.0000,139.1746,417.5237,87.1048,330.4189
dev_france_regression,hybrid_recent,1,24,down,1829,14632,43896,9170,0.6267,0.2089,0.0334,3.0000,93.2422,279.7266,58.3093,221.4173
dev_france_regression,hybrid_recent,1,32,all,1829,14632,58528,10073,0.6884,0.1721,0.0574,4.0000,232.4167,929.6670,159.7732,769.8938
dev_france_regression,hybrid_recent,1,32,upgate,1829,14632,58528,10073,0.6884,0.1721,0.0574,4.0000,139.1746,556.6982,95.6247,461.0735
dev_france_regression,hybrid_recent,1,32,down,1829,14632,58528,10073,0.6884,0.1721,0.0574,4.0000,93.2422,372.9688,64.1484,308.8203
dev_france_regression,hybrid_recent,1,48,all,1829,14632,87792,11015,0.7528,0.1255,0.1301,6.0000,232.4167,1394.5005,174.8276,1219.6729
dev_france_regression,hybrid_recent,1,48,upgate,1829,14632,87792,11015,0.7528,0.1255,0.1301,6.0000,139.1746,835.0474,104.6024,730.4449
dev_france_regression,hybrid_recent,1,48,down,1829,14632,87792,11015,0.7528,0.1255,0.1301,6.0000,93.2422,559.4531,70.2252,489.2280
dev_france_regression,hybrid_recent,1,64,all,1829,14632,117056,11615,0.7938,0.0992,0.1925,8.0000,232.4167,1859.3340,184.4037,1674.9303
dev_france_regression,hybrid_recent,1,64,upgate,1829,14632,117056,11615,0.7938,0.0992,0.1925,8.0000,139.1746,1113.3965,110.3105,1003.0860
dev_france_regression,hybrid_recent,1,64,down,1829,14632,117056,11615,0.7938,0.0992,0.1925,8.0000,93.2422,745.9375,74.0932,671.8443
dev_france_regression,hybrid_prev,1,8,all,1829,14632,14632,5565,0.3803,0.3803,0.0016,1.0000,232.4167,232.4167,88.0734,144.3434
dev_france_regression,hybrid_prev,1,8,upgate,1829,14632,14632,5565,0.3803,0.3803,0.0016,1.0000,139.1746,139.1746,53.0103,86.1642
dev_france_regression,hybrid_prev,1,8,down,1829,14632,14632,5565,0.3803,0.3803,0.0016,1.0000,93.2422,93.2422,35.0630,58.1792
