rank,pair_key,layer,expert,role,tensor,model_offset,nbytes,shape,n_expert,hot_ms,calls,fused_calls
25,blk.11.expert.9,11,9,down,blk.11.ffn_down_exps.weight,40608680704,4456448,2048x4096x256,256,7.280000,93,93
26,blk.33.expert.215,33,215,up,blk.33.ffn_up_exps.weight,122621170944,4456448,4096x2048x256,256,7.266000,83,83
26,blk.33.expert.215,33,215,down,blk.33.ffn_down_exps.weight,120339469568,4456448,2048x4096x256,256,7.467000,83,83
27,blk.14.expert.1,14,1,up,blk.14.ffn_up_exps.weight,53612585216,4456448,4096x2048x256,256,7.346000,88,88
27,blk.14.expert.1,14,1,down,blk.14.ffn_down_exps.weight,51330883840,4456448,2048x4096x256,256,6.991000,88,88
28,blk.5.expert.86,5,86,up,blk.5.ffn_up_exps.weight,21739139328,4456448,4096x2048x256,256,7.254000,80,80
28,blk.5.expert.86,5,86,down,blk.5.ffn_down_exps.weight,19457437952,4456448,2048x4096x256,256,7.016000,80,80
29,blk.29.expert.45,29,45,up,blk.29.ffn_up_exps.weight,107533981952,4456448,4096x2048x256,256,7.138000,82,82
29,blk.29.expert.45,29,45,down,blk.29.ffn_down_exps.weight,105252280576,4456448,2048x4096x256,256,7.059000,82,82
30,blk.38.expert.155,38,155,up,blk.38.ffn_up_exps.weight,140276435200,4456448,4096x2048x256,256,7.279000,79,79
30,blk.38.expert.155,38,155,down,blk.38.ffn_down_exps.weight,137994733824,4456448,2048x4096x256,256,6.822000,79,79
31,blk.12.expert.141,12,141,up,blk.12.ffn_up_exps.weight,47071691520,4456448,4096x2048x256,256,7.121000,83,83
31,blk.12.expert.141,12,141,down,blk.12.ffn_down_exps.weight,44789990144,4456448,2048x4096x256,256,6.934000,83,83
32,blk.13.expert.121,13,121,up,blk.13.ffn_up_exps.weight,50554300672,4456448,4096x2048x256,256,6.814000,82,82
32,blk.13.expert.121,13,121,down,blk.13.ffn_down_exps.weight,48272599296,4456448,2048x4096x256,256,6.784000,82,82
33,blk.7.expert.243,7,243,up,blk.7.ffn_up_exps.weight,29603598080,4456448,4096x2048x256,256,6.465000,78,78
33,blk.7.expert.243,7,243,down,blk.7.ffn_down_exps.weight,27321896704,4456448,2048x4096x256,256,6.658000,78,78
34,blk.39.expert.159,39,159,up,blk.39.ffn_up_exps.weight,143865999104,4456448,4096x2048x256,256,6.492000,75,75
34,blk.39.expert.159,39,159,down,blk.39.ffn_down_exps.weight,141584297728,4456448,2048x4096x256,256,6.224000,75,75
35,blk.7.expert.190,7,190,up,blk.7.ffn_up_exps.weight,29367406336,4456448,4096x2048x256,256,6.241000,73,73
35,blk.7.expert.190,7,190,down,blk.7.ffn_down_exps.weight,27085704960,4456448,2048x4096x256,256,6.331000,73,73
36,blk.6.expert.111,6,111,up,blk.6.ffn_up_exps.weight,25443608832,4456448,4096x2048x256,256,5.994000,72,72
36,blk.6.expert.111,6,111,down,blk.6.ffn_down_exps.weight,23161907456,4456448,2048x4096x256,256,5.992000,72,72
37,blk.31.expert.92,31,92,up,blk.31.ffn_up_exps.weight,114908231424,4456448,4096x2048x256,256,5.782000,69,69
37,blk.31.expert.92,31,92,down,blk.31.ffn_down_exps.weight,112626530048,4456448,2048x4096x256,256,6.021000,69,69
38,blk.18.expert.166,18,166,up,blk.18.ffn_up_exps.weight,68677491968,4456448,4096x2048x256,256,5.855000,74,74
38,blk.18.expert.166,18,166,down,blk.18.ffn_down_exps.weight,66395790592,4456448,2048x4096x256,256,5.890000,74,74
39,blk.26.expert.203,26,203,up,blk.26.ffn_up_exps.weight,97501566208,4456448,4096x2048x256,256,5.832000,67,67
39,blk.26.expert.203,26,203,down,blk.26.ffn_down_exps.weight,95219864832,4456448,2048x4096x256,256,5.786000,67,67
40,blk.12.expert.122,12,122,up,blk.12.ffn_up_exps.weight,46987019008,4456448,4096x2048x256,256,5.695000,67,67
40,blk.12.expert.122,12,122,down,blk.12.ffn_down_exps.weight,44705317632,4456448,2048x4096x256,256,5.703000,67,67
41,blk.6.expert.53,6,53,up,blk.6.ffn_up_exps.weight,25185134848,4456448,4096x2048x256,256,5.676000,68,68
41,blk.6.expert.53,6,53,down,blk.6.ffn_down_exps.weight,22903433472,4456448,2048x4096x256,256,5.717000,68,68
42,blk.20.expert.60,20,60,up,blk.20.ffn_up_exps.weight,75369904896,4456448,4096x2048x256,256,5.594000,69,69
42,blk.20.expert.60,20,60,down,blk.20.ffn_down_exps.weight,73088203520,4456448,2048x4096x256,256,5.474000,69,69
43,blk.16.expert.96,16,96,up,blk.16.ffn_up_exps.weight,61200744192,4456448,4096x2048x256,256,5.537000,63,63
43,blk.16.expert.96,16,96,down,blk.16.ffn_down_exps.weight,58919042816,4456448,2048x4096x256,256,5.234000,63,63
44,blk.18.expert.79,18,79,up,blk.18.ffn_up_exps.weight,68289780992,4456448,4096x2048x256,256,5.450000,66,66
44,blk.18.expert.79,18,79,down,blk.18.ffn_down_exps.weight,66008079616,4456448,2048x4096x256,256,5.243000,66,66
45,blk.16.expert.21,16,21,up,blk.16.ffn_up_exps.weight,60866510592,4456448,4096x2048x256,256,5.438000,59,59
45,blk.16.expert.21,16,21,down,blk.16.ffn_down_exps.weight,58584809216,4456448,2048x4096x256,256,5.226000,59,59
46,blk.4.expert.233,4,233,up,blk.4.ffn_up_exps.weight,18822499072,4456448,4096x2048x256,256,5.283000,59,59
46,blk.4.expert.233,4,233,down,blk.4.ffn_down_exps.weight,16540797696,4456448,2048x4096x256,256,5.345000,59,59
47,blk.8.expert.200,8,200,up,blk.8.ffn_up_exps.weight,33005029120,4456448,4096x2048x256,256,5.234000,63,63
47,blk.8.expert.200,8,200,down,blk.8.ffn_down_exps.weight,30723327744,4456448,2048x4096x256,256,5.301000,63,63
48,blk.15.expert.104,15,104,up,blk.15.ffn_up_exps.weight,57643337472,4456448,4096x2048x256,256,5.141000,62,62
48,blk.15.expert.104,15,104,down,blk.15.ffn_down_exps.weight,55361636096,4456448,2048x4096x256,256,5.265000,62,62
