tensor,expert,model_offset,nbytes,shape,n_expert,residual_ms,touches
blk.12.ffn_up_exps.weight,122,46987019008,4456448,4096x2048x256,256,6.390000,67
blk.6.ffn_up_exps.weight,111,25443608832,4456448,4096x2048x256,256,6.317000,72
blk.6.ffn_down_exps.weight,111,23161907456,4456448,2048x4096x256,256,6.295000,72
blk.26.ffn_up_exps.weight,203,97501566208,4456448,4096x2048x256,256,6.220000,67
blk.31.ffn_down_exps.weight,92,112626530048,4456448,2048x4096x256,256,6.127000,69
blk.12.ffn_down_exps.weight,122,44705317632,4456448,2048x4096x256,256,6.124000,67
blk.18.ffn_up_exps.weight,79,68289780992,4456448,4096x2048x256,256,6.124000,66
blk.31.ffn_up_exps.weight,92,114908231424,4456448,4096x2048x256,256,6.123000,69
blk.39.ffn_up_exps.weight,159,143865999104,4456448,4096x2048x256,256,6.077000,75
blk.20.ffn_down_exps.weight,60,73088203520,4456448,2048x4096x256,256,6.064000,69
blk.6.ffn_up_exps.weight,53,25185134848,4456448,4096x2048x256,256,5.978000,68
blk.39.ffn_down_exps.weight,159,141584297728,4456448,2048x4096x256,256,5.965000,75
blk.20.ffn_up_exps.weight,60,75369904896,4456448,4096x2048x256,256,5.960000,69
blk.15.ffn_up_exps.weight,104,57643337472,4456448,4096x2048x256,256,5.951000,62
blk.26.ffn_down_exps.weight,203,95219864832,4456448,2048x4096x256,256,5.938000,67
blk.6.ffn_down_exps.weight,53,22903433472,4456448,2048x4096x256,256,5.935000,68
blk.15.ffn_down_exps.weight,104,55361636096,4456448,2048x4096x256,256,5.868000,62
blk.16.ffn_up_exps.weight,176,61557260032,4456448,4096x2048x256,256,5.858000,58
blk.18.ffn_down_exps.weight,79,66008079616,4456448,2048x4096x256,256,5.718000,66
blk.16.ffn_up_exps.weight,240,61842472704,4456448,4096x2048x256,256,5.711000,58
blk.16.ffn_down_exps.weight,96,58919042816,4456448,2048x4096x256,256,5.656000,63
blk.16.ffn_up_exps.weight,96,61200744192,4456448,4096x2048x256,256,5.655000,63
blk.16.ffn_down_exps.weight,176,59275558656,4456448,2048x4096x256,256,5.595000,58
blk.30.ffn_up_exps.weight,204,111835615488,4456448,4096x2048x256,256,5.575000,59
blk.8.ffn_down_exps.weight,200,30723327744,4456448,2048x4096x256,256,5.522000,63
blk.16.ffn_down_exps.weight,240,59560771328,4456448,2048x4096x256,256,5.491000,58
blk.8.ffn_up_exps.weight,200,33005029120,4456448,4096x2048x256,256,5.478000,63
blk.32.ffn_down_exps.weight,34,115961114368,4456448,2048x4096x256,256,5.466000,58
blk.14.ffn_down_exps.weight,62,51602727168,4456448,2048x4096x256,256,5.413000,56
blk.14.ffn_up_exps.weight,62,53884428544,4456448,4096x2048x256,256,5.383000,56
blk.16.ffn_down_exps.weight,21,58584809216,4456448,2048x4096x256,256,5.353000,59
blk.30.ffn_down_exps.weight,204,109553914112,4456448,2048x4096x256,256,5.353000,59
blk.16.ffn_up_exps.weight,21,60866510592,4456448,4096x2048x256,256,5.333000,59
blk.31.ffn_up_exps.weight,10,114542802688,4456448,4096x2048x256,256,5.328000,58
