rank,pair_key,layer,expert,role,tensor,model_offset,nbytes,shape,n_expert,hot_ms,calls,fused_calls
25,blk.36.expert.88,36,88,down,blk.36.ffn_down_exps.weight,130531355392,4456448,2048x4096x256,256,6.883000,89,89
26,blk.12.expert.141,12,141,up,blk.12.ffn_up_exps.weight,47071691520,4456448,4096x2048x256,256,7.166000,83,83
26,blk.12.expert.141,12,141,down,blk.12.ffn_down_exps.weight,44789990144,4456448,2048x4096x256,256,6.754000,83,83
27,blk.14.expert.1,14,1,up,blk.14.ffn_up_exps.weight,53612585216,4456448,4096x2048x256,256,6.959000,88,88
27,blk.14.expert.1,14,1,down,blk.14.ffn_down_exps.weight,51330883840,4456448,2048x4096x256,256,6.871000,88,88
28,blk.13.expert.121,13,121,up,blk.13.ffn_up_exps.weight,50554300672,4456448,4096x2048x256,256,6.801000,82,82
28,blk.13.expert.121,13,121,down,blk.13.ffn_down_exps.weight,48272599296,4456448,2048x4096x256,256,7.023000,82,82
29,blk.33.expert.215,33,215,up,blk.33.ffn_up_exps.weight,122621170944,4456448,4096x2048x256,256,6.995000,83,83
29,blk.33.expert.215,33,215,down,blk.33.ffn_down_exps.weight,120339469568,4456448,2048x4096x256,256,6.411000,83,83
30,blk.7.expert.243,7,243,up,blk.7.ffn_up_exps.weight,29603598080,4456448,4096x2048x256,256,6.679000,78,78
30,blk.7.expert.243,7,243,down,blk.7.ffn_down_exps.weight,27321896704,4456448,2048x4096x256,256,6.190000,78,78
31,blk.5.expert.86,5,86,up,blk.5.ffn_up_exps.weight,21739139328,4456448,4096x2048x256,256,6.536000,80,80
31,blk.5.expert.86,5,86,down,blk.5.ffn_down_exps.weight,19457437952,4456448,2048x4096x256,256,6.252000,80,80
32,blk.38.expert.155,38,155,up,blk.38.ffn_up_exps.weight,140276435200,4456448,4096x2048x256,256,6.483000,79,79
32,blk.38.expert.155,38,155,down,blk.38.ffn_down_exps.weight,137994733824,4456448,2048x4096x256,256,6.115000,79,79
33,blk.29.expert.45,29,45,up,blk.29.ffn_up_exps.weight,107533981952,4456448,4096x2048x256,256,6.309000,82,82
33,blk.29.expert.45,29,45,down,blk.29.ffn_down_exps.weight,105252280576,4456448,2048x4096x256,256,6.154000,82,82
34,blk.18.expert.166,18,166,up,blk.18.ffn_up_exps.weight,68677491968,4456448,4096x2048x256,256,6.312000,74,74
34,blk.18.expert.166,18,166,down,blk.18.ffn_down_exps.weight,66395790592,4456448,2048x4096x256,256,5.947000,74,74
35,blk.7.expert.190,7,190,up,blk.7.ffn_up_exps.weight,29367406336,4456448,4096x2048x256,256,6.262000,73,73
35,blk.7.expert.190,7,190,down,blk.7.ffn_down_exps.weight,27085704960,4456448,2048x4096x256,256,5.898000,73,73
36,blk.6.expert.111,6,111,up,blk.6.ffn_up_exps.weight,25443608832,4456448,4096x2048x256,256,6.196000,72,72
36,blk.6.expert.111,6,111,down,blk.6.ffn_down_exps.weight,23161907456,4456448,2048x4096x256,256,5.954000,72,72
37,blk.12.expert.122,12,122,up,blk.12.ffn_up_exps.weight,46987019008,4456448,4096x2048x256,256,5.936000,67,67
37,blk.12.expert.122,12,122,down,blk.12.ffn_down_exps.weight,44705317632,4456448,2048x4096x256,256,5.618000,67,67
38,blk.6.expert.53,6,53,up,blk.6.ffn_up_exps.weight,25185134848,4456448,4096x2048x256,256,5.882000,68,68
38,blk.6.expert.53,6,53,down,blk.6.ffn_down_exps.weight,22903433472,4456448,2048x4096x256,256,5.672000,68,68
39,blk.39.expert.159,39,159,up,blk.39.ffn_up_exps.weight,143865999104,4456448,4096x2048x256,256,5.619000,75,75
39,blk.39.expert.159,39,159,down,blk.39.ffn_down_exps.weight,141584297728,4456448,2048x4096x256,256,5.608000,75,75
40,blk.8.expert.200,8,200,up,blk.8.ffn_up_exps.weight,33005029120,4456448,4096x2048x256,256,5.669000,63,63
