tensor	expert	fallback_ms	calls	expert_bytes
blk.5.ffn_up_exps.weight	46	7.659	25	4456448
blk.4.ffn_down_exps.weight	197	7.655	20	4456448
blk.35.ffn_down_exps.weight	90	7.616	13	4456448
blk.0.ffn_down_exps.weight	240	7.603	4	4456448
blk.1.ffn_up_exps.weight	212	7.591	7	4456448
blk.0.ffn_down_exps.weight	227	7.575	8	4456448
blk.27.ffn_down_exps.weight	60	7.548	16	4456448
blk.29.ffn_up_exps.weight	108	7.543	1	4456448
blk.4.ffn_down_exps.weight	39	7.531	4	4456448
blk.4.ffn_up_exps.weight	8	7.524	21	4456448
blk.9.ffn_up_exps.weight	236	7.504	20	4456448
blk.4.ffn_up_exps.weight	59	7.482	6	4456448
blk.5.ffn_down_exps.weight	192	7.479	12	4456448
blk.2.ffn_up_exps.weight	235	7.469	9	4456448
blk.16.ffn_down_exps.weight	138	7.459	3	4456448
blk.36.ffn_down_exps.weight	223	7.457	11	4456448
blk.37.ffn_up_exps.weight	107	7.453	7	4456448
blk.17.ffn_down_exps.weight	137	7.445	7	4456448
blk.1.ffn_up_exps.weight	122	7.419	3	4456448
blk.36.ffn_up_exps.weight	133	7.419	19	4456448
blk.14.ffn_up_exps.weight	49	7.406	14	4456448
blk.19.ffn_up_exps.weight	182	7.400	3	4456448
blk.14.ffn_up_exps.weight	173	7.391	14	4456448
blk.10.ffn_up_exps.weight	137	7.381	6	4456448
blk.3.ffn_up_exps.weight	11	7.349	14	4456448
blk.21.ffn_down_exps.weight	92	7.344	7	4456448
blk.33.ffn_down_exps.weight	154	7.342	1	4456448
blk.9.ffn_up_exps.weight	80	7.333	15	4456448
blk.2.ffn_down_exps.weight	244	7.332	2	4456448
blk.1.ffn_up_exps.weight	54	7.329	4	4456448
blk.0.ffn_down_exps.weight	231	7.322	8	4456448
blk.16.ffn_up_exps.weight	3	7.322	4	4456448
blk.3.ffn_down_exps.weight	54	7.312	6	4456448
blk.2.ffn_down_exps.weight	174	7.311	16	4456448
blk.18.ffn_down_exps.weight	173	7.310	3	4456448
blk.2.ffn_up_exps.weight	109	7.305	2	4456448
