tensor	expert	fallback_ms	calls	expert_bytes
blk.12.ffn_down_exps.weight	122	19.631	67	4456448
blk.12.ffn_down_exps.weight	41	19.249	34	4456448
blk.16.ffn_up_exps.weight	176	19.189	58	4456448
blk.12.ffn_down_exps.weight	191	18.541	29	4456448
blk.7.ffn_up_exps.weight	140	18.370	45	4456448
blk.19.ffn_up_exps.weight	46	18.338	22	4456448
blk.32.ffn_up_exps.weight	34	18.305	58	4456448
blk.8.ffn_up_exps.weight	200	18.208	63	4456448
blk.15.ffn_up_exps.weight	104	18.102	62	4456448
blk.19.ffn_down_exps.weight	96	17.980	42	4456448
blk.20.ffn_up_exps.weight	219	17.888	24	4456448
blk.20.ffn_down_exps.weight	112	17.835	60	4456448
blk.35.ffn_down_exps.weight	84	17.473	11	4456448
blk.3.ffn_up_exps.weight	149	17.466	32	4456448
blk.28.ffn_down_exps.weight	142	17.407	49	4456448
blk.20.ffn_up_exps.weight	196	17.208	16	4456448
blk.19.ffn_down_exps.weight	46	17.086	22	4456448
blk.16.ffn_up_exps.weight	96	16.967	63	4456448
blk.11.ffn_down_exps.weight	103	16.941	42	4456448
blk.5.ffn_down_exps.weight	46	16.822	25	4456448
blk.10.ffn_down_exps.weight	98	16.793	10	4456448
blk.2.ffn_down_exps.weight	23	16.756	5	4456448
blk.31.ffn_up_exps.weight	19	16.752	41	4456448
blk.8.ffn_down_exps.weight	11	16.687	53	4456448
blk.38.ffn_up_exps.weight	187	16.667	38	4456448
blk.16.ffn_down_exps.weight	21	16.559	59	4456448
blk.21.ffn_down_exps.weight	236	16.528	33	4456448
blk.33.ffn_up_exps.weight	215	16.468	83	4456448
blk.38.ffn_down_exps.weight	155	16.249	79	4456448
blk.10.ffn_up_exps.weight	98	16.213	10	4456448
blk.0.ffn_up_exps.weight	50	16.147	13	4456448
blk.5.ffn_down_exps.weight	251	16.072	20	4456448
blk.29.ffn_up_exps.weight	45	15.971	82	4456448
blk.23.ffn_up_exps.weight	194	15.952	23	4456448
blk.11.ffn_down_exps.weight	164	15.881	52	4456448
blk.12.ffn_down_exps.weight	149	15.865	40	4456448
blk.13.ffn_down_exps.weight	159	15.563	28	4456448
blk.7.ffn_down_exps.weight	191	15.520	53	4456448
blk.34.ffn_down_exps.weight	88	15.473	55	4456448
blk.9.ffn_up_exps.weight	69	15.414	45	4456448
blk.35.ffn_down_exps.weight	7	15.401	26	4456448
