blk.8.ffn_up_exps.weight	200	5.478	63	4456448
blk.32.ffn_down_exps.weight	34	5.466	58	4456448
blk.14.ffn_down_exps.weight	62	5.413	56	4456448
blk.14.ffn_up_exps.weight	62	5.383	56	4456448
blk.16.ffn_down_exps.weight	21	5.353	59	4456448
blk.30.ffn_down_exps.weight	204	5.353	59	4456448
blk.16.ffn_up_exps.weight	21	5.333	59	4456448
blk.31.ffn_up_exps.weight	10	5.328	58	4456448
blk.4.ffn_down_exps.weight	233	5.322	59	4456448
blk.31.ffn_down_exps.weight	10	5.296	58	4456448
blk.32.ffn_up_exps.weight	34	5.288	58	4456448
blk.4.ffn_up_exps.weight	233	5.269	59	4456448
blk.11.ffn_up_exps.weight	164	5.235	52	4456448
blk.28.ffn_down_exps.weight	252	5.224	56	4456448
blk.28.ffn_up_exps.weight	252	5.207	56	4456448
blk.20.ffn_down_exps.weight	112	5.176	60	4456448
blk.20.ffn_up_exps.weight	112	5.096	60	4456448
blk.11.ffn_down_exps.weight	164	5.060	52	4456448
blk.8.ffn_down_exps.weight	11	4.935	53	4456448
blk.35.ffn_up_exps.weight	104	4.925	54	4456448
blk.8.ffn_down_exps.weight	223	4.883	53	4456448
blk.8.ffn_up_exps.weight	11	4.820	53	4456448
blk.35.ffn_down_exps.weight	104	4.816	54	4456448
blk.34.ffn_up_exps.weight	88	4.780	55	4456448
blk.7.ffn_down_exps.weight	191	4.746	53	4456448
blk.38.ffn_up_exps.weight	89	4.740	48	4456448
blk.38.ffn_down_exps.weight	89	4.692	48	4456448
blk.11.ffn_up_exps.weight	232	4.678	48	4456448
blk.8.ffn_up_exps.weight	223	4.678	53	4456448
blk.15.ffn_up_exps.weight	249	4.631	53	4456448
blk.7.ffn_up_exps.weight	191	4.613	53	4456448
blk.34.ffn_down_exps.weight	88	4.597	55	4456448
blk.11.ffn_down_exps.weight	232	4.557	48	4456448
blk.15.ffn_down_exps.weight	249	4.444	53	4456448
blk.38.ffn_up_exps.weight	221	4.403	50	4456448
blk.38.ffn_down_exps.weight	221	4.337	50	4456448
blk.28.ffn_down_exps.weight	142	4.300	49	4456448
blk.28.ffn_up_exps.weight	142	4.249	49	4456448
blk.37.ffn_down_exps.weight	164	4.118	50	4456448
blk.7.ffn_down_exps.weight	140	4.071	45	4456448
blk.19.ffn_down_exps.weight	181	4.057	44	4456448
blk.37.ffn_up_exps.weight	164	4.050	50	4456448
blk.19.ffn_up_exps.weight	181	3.952	44	4456448
blk.9.ffn_down_exps.weight	69	3.949	45	4456448
blk.9.ffn_up_exps.weight	69	3.930	45	4456448
blk.17.ffn_up_exps.weight	61	3.916	39	4456448
blk.11.ffn_up_exps.weight	103	3.908	42	4456448
blk.7.ffn_up_exps.weight	140	3.906	45	4456448
blk.11.ffn_down_exps.weight	103	3.879	42	4456448
blk.34.ffn_up_exps.weight	239	3.813	38	4456448
blk.19.ffn_down_exps.weight	96	3.735	42	4456448
blk.18.ffn_up_exps.weight	163	3.717	38	4456448
blk.34.ffn_down_exps.weight	239	3.709	38	4456448
blk.17.ffn_down_exps.weight	61	3.708	39	4456448
blk.34.ffn_up_exps.weight	254	3.670	40	4456448
blk.12.ffn_up_exps.weight	149	3.654	40	4456448
blk.25.ffn_up_exps.weight	61	3.615	38	4456448
blk.31.ffn_up_exps.weight	19	3.565	41	4456448
blk.29.ffn_up_exps.weight	33	3.563	40	4456448
blk.29.ffn_down_exps.weight	33	3.558	40	4456448
blk.32.ffn_down_exps.weight	205	3.558	37	4456448
blk.31.ffn_down_exps.weight	19	3.545	41	4456448
blk.25.ffn_down_exps.weight	61	3.530	38	4456448
blk.38.ffn_up_exps.weight	187	3.526	38	4456448
blk.34.ffn_down_exps.weight	254	3.522	40	4456448
blk.19.ffn_up_exps.weight	96	3.516	42	4456448
blk.38.ffn_up_exps.weight	151	3.459	40	4456448
blk.15.ffn_up_exps.weight	175	3.452	36	4456448
blk.14.ffn_up_exps.weight	181	3.445	37	4456448
blk.11.ffn_up_exps.weight	81	3.443	37	4456448
blk.18.ffn_down_exps.weight	163	3.426	38	4456448
blk.32.ffn_up_exps.weight	205	3.396	37	4456448
blk.14.ffn_down_exps.weight	181	3.371	37	4456448
blk.12.ffn_down_exps.weight	149	3.355	40	4456448
blk.38.ffn_down_exps.weight	151	3.341	40	4456448
blk.31.ffn_down_exps.weight	244	3.317	35	4456448
blk.8.ffn_down_exps.weight	173	3.311	35	4456448
