prompt,op,calls,batch_accept,batch_decline,accept_rate,decode_calls,prompt_calls,decode_total_ms_per_call,decode_cuda_ms_per_call,decode_fallback_ms_per_call,prompt_total_ms_per_call,prompt_cuda_ms_per_call,prompt_fallback_ms_per_call,extension_miss
dev_france_regression,down,5278,5278,0,1.0,5101,177,2.905,2.878,0.001,65.846,65.385,0.002,False
dev_france_regression,up_gate,5101,5101,0,1.0,5101,0,7.43,7.355,0.001,0.0,0.0,0.0,False
dev_france_regression_iobatch,down,5278,5278,0,1.0,5101,177,2.907,2.875,0.001,51.995,51.454,0.003,False
dev_france_regression_iobatch,up_gate,5101,5101,0,1.0,5101,0,6.414,6.372,0.001,0.0,0.0,0.0,False
dev_intelligence_general,down,5878,5878,0,1.0,5701,177,2.846,2.82,0.002,52.052,51.599,0.002,False
dev_intelligence_general,up_gate,5701,5701,0,1.0,5701,0,7.318,7.243,0.001,0.0,0.0,0.0,False
