op,role,batches,jobs,read_jobs,avg_read_jobs_per_batch,weighted_inflight_avg,max_inflight,wait_ms,wall_ms,wait_ms_per_read_job,small_read_batch_rate_le4,small_read_batch_rate_le8
runtime_load,gate,5146,26908,26908,5.228915662650603,4.135186055671184,8,15462.054126000012,17592.558194000045,0.5746266584658842,0.5242907112320249,0.9885347842984843
runtime_load,up,5146,26905,26905,5.228332685581034,3.889790042780158,8,15051.683536999933,16917.65339799997,0.5594381541349167,0.5240963855421686,0.9885347842984843
runtime_load,down,2694,19053,19053,7.072383073496659,4.528478543169053,8,8902.140300000015,11317.144023999968,0.4672303731695804,0.25686711210096513,0.9780994803266518
current_down_overlap,down,2463,11754,11754,4.7722289890377585,3.313296384890249,8,6011.643606999985,6281.126444999978,0.511455130763994,0.4596021112464474,1.0
