op,role,batches,jobs,read_jobs,avg_read_jobs_per_batch,weighted_inflight_avg,max_inflight,wait_ms,wall_ms,wait_ms_per_read_job,small_read_batch_rate_le4,small_read_batch_rate_le8
runtime_load,gate,5087,22517,22517,4.4263809711028115,3.4934180978816025,8,14687.123470999994,15481.526113000018,0.6522682182795219,0.5303715352860232,1.0
runtime_load,up,5087,22514,22514,4.425791232553568,3.2055098011903693,8,14323.878533999949,14900.892172999997,0.6362209529181819,0.5301749557696088,1.0
runtime_load,down,2635,14662,14662,5.564326375711575,3.654389389442097,8,8088.850510000017,8400.666787999997,0.5516880718865105,0.26261859582542696,1.0
current_down_overlap,down,2463,11754,11754,4.7722289890377585,3.313296384890249,8,6011.643606999985,6281.126444999978,0.511455130763994,0.4596021112464474,1.0
