op,role,layer,batches,jobs,read_jobs,avg_read_jobs_per_batch,weighted_inflight_avg,max_inflight,wait_ms,wall_ms,wait_ms_per_read_job,small_read_batch_rate_le4,small_read_batch_rate_le8
runtime_load,gate,1,86,547,547,6.3604651162790695,4.5422027239488125,8,361.56359399999997,544.9789349999999,0.6609937733089579,0.29069767441860467,0.9883720930232558
runtime_load,down,6,86,572,572,6.651162790697675,4.377850484265735,8,351.86458600000003,515.6512429999997,0.6151478776223777,0.1511627906976744,0.9883720930232558
runtime_load,down,4,86,635,635,7.383720930232558,4.42842894015748,8,347.8659010000001,511.683504,0.5478203165354333,0.06976744186046512,0.9883720930232558
runtime_load,up,1,86,547,547,6.3604651162790695,4.138381138939672,8,343.67853299999996,431.50742,0.6282971352833637,0.29069767441860467,0.9883720930232558
runtime_load,down,7,86,585,585,6.8023255813953485,4.345848087179488,8,336.61592099999996,379.94942200000014,0.5754118307692307,0.16279069767441862,0.9883720930232558
runtime_load,down,10,86,584,584,6.790697674418604,4.272235799657534,8,330.02642199999997,357.65842599999996,0.5651137363013699,0.10465116279069768,0.9883720930232558
runtime_load,gate,55,86,470,470,5.465116279069767,4.410138429787234,8,320.8090030000001,359.2497659999999,0.6825723468085108,0.5116279069767442,0.9883720930232558
runtime_load,down,9,86,562,562,6.534883720930233,4.277033567615658,8,318.22033599999986,361.2423010000001,0.5662283558718859,0.20930232558139536,0.9883720930232558
runtime_load,gate,29,86,515,515,5.988372093023256,4.511089932038835,8,315.2845280000001,346.046167,0.6122029669902914,0.32558139534883723,0.9883720930232558
runtime_load,down,8,86,540,540,6.27906976744186,4.12383139074074,8,312.9917720000001,350.74762499999997,0.5796143925925927,0.22093023255813954,0.9883720930232558
runtime_load,up,7,86,496,496,5.767441860465116,4.1317026008064515,8,310.08449500000006,340.7716139999999,0.6251703528225808,0.4186046511627907,0.9883720930232558
runtime_load,gate,33,86,476,476,5.534883720930233,4.406527598739496,8,307.3029179999999,341.38852899999995,0.6455943655462183,0.4418604651162791,0.9883720930232558
runtime_load,gate,28,86,502,502,5.837209302325581,4.417839729083665,8,307.032082,341.43664000000007,0.6116176932270916,0.3023255813953488,0.9883720930232558
runtime_load,up,25,86,497,497,5.77906976744186,4.060732283702214,8,305.6650769999999,332.92620000000005,0.6150202756539233,0.38372093023255816,0.9883720930232558
runtime_load,gate,7,86,496,496,5.767441860465116,4.115910620967742,8,305.3211629999999,328.4063000000001,0.6155668608870966,0.4186046511627907,0.9883720930232558
runtime_load,up,8,86,468,468,5.441860465116279,3.870692617521368,8,300.9573240000001,329.20545,0.6430712051282053,0.43023255813953487,0.9883720930232558
runtime_load,up,29,86,515,515,5.988372093023256,3.998552765048544,8,299.6760120000001,329.1967510000001,0.5818951689320391,0.32558139534883723,0.9883720930232558
runtime_load,down,25,86,560,560,6.511627906976744,4.075012762500001,8,299.4966580000001,330.9113,0.5348154607142859,0.19767441860465115,0.9883720930232558
runtime_load,up,9,86,491,491,5.709302325581396,4.170443694501018,8,298.456347,331.28873899999996,0.607854067209776,0.3953488372093023,0.9883720930232558
runtime_load,gate,30,86,484,484,5.627906976744186,4.365013745867769,8,297.86288600000006,349.90398400000004,0.6154191859504133,0.43023255813953487,0.9883720930232558
runtime_load,down,23,86,554,554,6.441860465116279,4.083055070397112,8,297.2314729999998,336.25927999999993,0.5365189043321297,0.2441860465116279,0.9883720930232558
runtime_load,down,18,86,501,501,5.825581395348837,3.887805397205589,8,297.05606200000017,332.83149100000014,0.5929262714570862,0.3488372093023256,0.9883720930232558
runtime_load,gate,31,85,471,471,5.541176470588235,4.426730815286624,8,295.9883210000001,329.87673700000005,0.6284253099787688,0.47058823529411764,0.9882352941176471
runtime_load,gate,9,86,492,492,5.72093023255814,4.034808079268292,8,293.92122899999987,321.97903000000014,0.5974008719512193,0.3953488372093023,0.9883720930232558
runtime_load,up,10,86,523,523,6.0813953488372094,4.0196850305927345,8,293.623137,312.97836499999994,0.5614209120458891,0.2441860465116279,0.9883720930232558
runtime_load,gate,10,86,523,523,6.0813953488372094,4.253571715105163,8,293.04397999999986,320.913455,0.5603135372848945,0.2441860465116279,0.9883720930232558
runtime_load,up,49,86,403,403,4.686046511627907,3.632311652605459,8,292.6079319999998,323.25176899999997,0.7260742729528531,0.6976744186046512,0.9883720930232558
