op,role,layer,batches,jobs,read_jobs,avg_read_jobs_per_batch,weighted_inflight_avg,max_inflight,wait_ms,wall_ms,wait_ms_per_read_job,small_read_batch_rate_le4,small_read_batch_rate_le8
runtime_load,gate,1,85,477,477,5.6117647058823525,4.124712997903564,8,344.9127859999999,435.66292200000004,0.7230876016771487,0.29411764705882354,1.0
runtime_load,up,1,85,477,477,5.6117647058823525,3.637471285115304,8,333.8581769999999,402.48110099999997,0.6999123207547168,0.29411764705882354,1.0
runtime_load,down,7,85,512,512,6.023529411764706,3.900590587890624,8,319.739806,330.1846190000002,0.62449180859375,0.16470588235294117,1.0
runtime_load,down,10,85,526,526,6.188235294117647,3.9576724467680604,8,316.088181,327.630079,0.6009281007604563,0.10588235294117647,1.0
runtime_load,down,4,85,556,556,6.541176470588235,4.00620931115108,8,313.632661,324.74024,0.5640875197841726,0.07058823529411765,1.0
runtime_load,down,6,85,505,505,5.9411764705882355,3.9609712415841583,8,312.00967800000006,322.80771999999996,0.6178409465346536,0.15294117647058825,1.0
runtime_load,down,9,85,490,490,5.764705882352941,3.771311969387755,8,303.8770339999999,313.884648,0.6201572122448978,0.21176470588235294,1.0
runtime_load,gate,29,85,444,444,5.223529411764706,4.0631167004504505,8,303.5944810000001,313.26732799999996,0.6837713536036037,0.32941176470588235,1.0
runtime_load,down,8,85,478,478,5.623529411764705,3.683682027196652,8,301.26333000000005,311.2917739999999,0.6302580125523014,0.2235294117647059,1.0
runtime_load,up,7,85,423,423,4.976470588235294,3.5351851891252957,8,298.075891,308.0818959999999,0.7046711371158393,0.4235294117647059,1.0
runtime_load,gate,33,85,403,403,4.741176470588235,3.8461715558312655,8,297.54901699999994,306.78082600000005,0.7383350297766748,0.4470588235294118,1.0
runtime_load,gate,28,85,422,422,4.964705882352941,3.812480246445497,8,295.0349490000001,304.6248110000001,0.699134950236967,0.3058823529411765,1.0
runtime_load,gate,7,85,423,423,4.976470588235294,3.5448384586288415,8,294.7310919999999,305.58112000000006,0.6967638108747042,0.4235294117647059,1.0
runtime_load,up,9,85,419,419,4.929411764705883,3.553079899761336,8,289.7501699999999,299.138365,0.6915278520286394,0.4,1.0
runtime_load,up,29,85,444,444,5.223529411764706,3.436057466216217,8,289.57932700000015,299.095303,0.6522056914414418,0.32941176470588235,1.0
runtime_load,gate,10,85,465,465,5.470588235294118,3.8370916408602147,8,286.0839539999999,296.318001,0.6152343096774191,0.24705882352941178,1.0
runtime_load,gate,31,84,394,394,4.690476190476191,3.797377337563452,8,285.8345920000001,294.88734100000005,0.7254685076142134,0.47619047619047616,1.0
runtime_load,up,33,85,403,403,4.741176470588235,3.3418941215880897,8,285.669616,294.5539679999998,0.7088576079404467,0.4470588235294118,1.0
runtime_load,up,10,85,465,465,5.470588235294118,3.576671804301075,8,285.5621129999999,295.54725699999995,0.6141120709677417,0.24705882352941178,1.0
runtime_load,up,8,85,406,406,4.776470588235294,3.419147322660099,8,285.4981010000001,294.901619,0.7031972931034485,0.43529411764705883,1.0
runtime_load,gate,9,85,420,420,4.9411764705882355,3.4380102071428578,8,284.51942499999996,294.5089440000001,0.6774272023809522,0.4,1.0
runtime_load,down,25,85,492,492,5.788235294117647,3.6179006971544725,8,284.32144100000005,293.85623899999996,0.5778891077235774,0.2,1.0
runtime_load,down,23,85,484,484,5.694117647058824,3.5933884483471075,8,284.0521919999999,293.82228599999985,0.5868846942148758,0.24705882352941178,1.0
runtime_load,down,24,85,495,495,5.823529411764706,3.6304377212121204,8,283.882211,293.56860400000005,0.5734994161616161,0.2235294117647059,1.0
runtime_load,gate,30,85,403,403,4.741176470588235,3.7628205012406952,8,283.3653440000001,292.5075010000001,0.7031398114143923,0.43529411764705883,1.0
runtime_load,down,18,85,439,439,5.1647058823529415,3.424731548974943,8,283.1687080000001,292.33178,0.6450312255125287,0.35294117647058826,1.0
runtime_load,gate,8,85,406,406,4.776470588235294,3.3192939310344824,8,279.14379500000007,289.23998900000004,0.6875462931034484,0.43529411764705883,1.0
runtime_load,gate,32,85,384,384,4.517647058823529,3.643322177083333,8,278.87074599999994,287.50495800000016,0.7262259010416665,0.5294117647058824,1.0
runtime_load,up,28,85,422,422,4.964705882352941,3.2640205616113738,8,278.3330419999999,287.331403,0.6595569715639809,0.3058823529411765,1.0
runtime_load,up,31,84,393,393,4.678571428571429,3.2031140305343504,8,276.855089,285.7789099999999,0.7044658753180663,0.47619047619047616,1.0
runtime_load,gate,24,85,420,420,4.9411764705882355,3.6734920500000006,8,274.31652599999995,283.514768,0.6531345857142856,0.4117647058823529,1.0
runtime_load,gate,48,85,373,373,4.3882352941176475,3.528373549597855,8,274.1271470000001,282.816625,0.7349253270777483,0.5176470588235295,1.0
runtime_load,down,20,85,476,476,5.6,3.6031862794117644,8,273.280157,283.2588810000001,0.5741179768907563,0.23529411764705882,1.0
runtime_load,up,25,85,429,429,5.047058823529412,3.517982006993007,8,272.703124,282.0349889999999,0.6356716177156178,0.38823529411764707,1.0
