1781581648206,41, 32071, 0
1781581649245,44, 32068, 0
1781581650270,44, 32068, 0
1781581651321,44, 32068, 0
1781581652364,44, 32068, 0
1781581653400,44, 32068, 0
1781581654436,44, 32068, 0
1781581655471,44, 32068, 0
1781581656508,44, 32068, 0
1781581657539,44, 32068, 0
1781581658574,44, 32068, 0
1781581659608,44, 32068, 0
1781581660643,735, 31377, 0
1781581661687,1673, 30439, 5
1781581662725,2607, 29505, 5
1781581663765,3579, 28533, 7
1781581664826,5073, 27039, 11
1781581665965,5367, 26745, 1
1781581666987,5649, 26463, 1
1781581668008,6187, 25925, 0
1781581669033,6651, 25461, 0
1781581670062,8155, 23957, 7
1781581671090,10583, 21529, 10
1781581672117,12497, 19615, 10
1781581673141,13665, 18447, 5
1781581674167,14443, 17669, 3
1781581675189,15195, 16917, 3
1781581676212,16017, 16095, 4
1781581677237,16411, 15701, 4
1781581678264,17867, 14245, 5
1781581679289,19227, 12885, 5
1781581680322,20539, 11573, 6
1781581681345,22257, 9855, 6
1781581682369,24139, 7973, 7
1781581683392,25409, 6703, 7
1781581684416,27169, 4943, 7
1781581685440,28571, 3541, 0
1781581686463,29221, 2891, 0
1781581687483,30399, 1713, 13
1781581688518,32076, 36, 2
1781581689580,32110, 2, 0
1781581690634,32110, 2, 0
