prompt,quality,token_rate,decode_ms_per_token,ttft_ms,ram_peak_gib,fallback_rows,extension_miss,upgate_ms_per_token,upgate_wait_ms_per_token,down_ms_per_token,down_stage_ms_per_token
dev_france_regression,pass,1.530,652.693,12004.970,11.933,0,0,445.737,257.324,172.304,161.357
dev_intelligence_general,pass,1.520,658.404,9863.440,11.772,0,0,450.519,252.561,171.583,160.551
