1781581233014,41, 32071, 0
1781581234049,41, 32071, 0
1781581235100,44, 32068, 0
1781581236158,44, 32068, 0
1781581237202,44, 32068, 0
1781581238237,44, 32068, 0
1781581239275,44, 32068, 0
1781581240312,44, 32068, 0
1781581241343,44, 32068, 0
1781581242379,44, 32068, 0
1781581243414,44, 32068, 0
1781581244448,44, 32068, 0
1781581245483,44, 32068, 0
1781581246520,1187, 30925, 5
1781581247547,2083, 30029, 4
1781581248579,2979, 29133, 6
1781581249615,4005, 28107, 11
1781581250660,5285, 26827, 6
1781581251724,6181, 25931, 6
1781581252769,7717, 24395, 9
1781581253795,9381, 22731, 7
1781581254823,10149, 21963, 5
1781581255848,11045, 21067, 4
1781581256872,12069, 20043, 6
1781581257902,13989, 18123, 10
1781581258932,15781, 16331, 10
1781581259960,16677, 15435, 0
1781581260985,18341, 13771, 8
1781581262009,19621, 12491, 8
1781581263033,21029, 11083, 8
1781581264059,22693, 9419, 8
1781581265084,23845, 8267, 8
1781581266108,24229, 7883, 0
1781581267132,25765, 6347, 7
1781581268157,26789, 5323, 7
1781581269180,26929, 5183, 1
1781581270201,28855, 3257, 16
1781581271221,29239, 2873, 1
1781581272241,29495, 2617, 1
1781581273260,29881, 2231, 1
1781581274281,30137, 1975, 1
1781581275307,30523, 1589, 1
1781581276326,30907, 1205, 1
1781581277347,31293, 819, 1
1781581278366,31677, 435, 1
1781581279385,31935, 177, 1
1781581280404,32063, 49, 14
1781581281423,32063, 49, 0
1781581282442,32063, 49, 0
1781581283463,32063, 49, 0
1781581284486,32063, 49, 0
