1781581233014 12814868 9939384
1781581234049 12637400 9939516
1781581235100 12593648 9939644
1781581236158 12347796 9939720
1781581237202 11966400 9942188
1781581238237 10849676 9951448
1781581239275 10223824 9951728
1781581240312 9283852 9951776
1781581241343 9827404 9951872
1781581242379 9817176 9988668
1781581243414 9824208 9988840
1781581244448 9833252 9988932
1781581245483 9852152 9989056
1781581246520 6451944 9989140
1781581247547 4219772 9988808
1781581248579 3084556 9988924
1781581249615 1505640 9989188
1781581250660 1841424 8512476
1781581251724 3118396 6711772
1781581252769 3300496 5857116
1781581253795 4283696 5541456
1781581254823 4642864 4495828
1781581255848 6063976 2548984
1781581256872 7043680 1033668
1781581257902 6223292 1037960
1781581258932 5329688 1043352
1781581259960 4661604 1062176
1781581260985 4449692 1070168
1781581262009 4313840 1073736
1781581263033 4273544 1075184
1781581264059 4277588 1076456
1781581265084 4084388 1079344
1781581266108 4071820 1079860
1781581267132 4071836 1084492
1781581268157 3853312 1089924
1781581269180 3660460 1265012
1781581270201 4757104 1459804
1781581271221 4680284 1781056
1781581272241 4660832 2017160
1781581273260 4942556 2257404
1781581274281 4981992 2508264
1781581275307 4907964 2749528
1781581276326 4943896 3026236
1781581277347 4949312 3295860
1781581278366 4977500 3531068
1781581279385 5048912 3785480
1781581280404 4942584 4101632
1781581281423 4605116 4439184
1781581282442 10530792 8398260
1781581283463 10246644 8402436
1781581284486 9958648 8450748
