freed_mib_target,removed_keys,removed_mib,removed_traffic_gib,added_keys,added_mib,added_traffic_gib,net_traffic_reduction_gib,estimated_saved_s,estimated_decode_improvement_pct,remove_by_kind,add_by_kind
256,39,258.890625,9.714828491210938,56,255.71875,11.377777099609375,1.6629486083984375,0.2845765519512427,0.0781990532549322,"{'down': 24, 'upgate': 15}","{'upgate': 53, 'down': 3}"
512,82,514.28125,19.55206298828125,106,505.96875,22.297653198242188,2.7455902099609375,0.4698465070272139,0.12910955513636277,"{'down': 36, 'upgate': 46}","{'upgate': 86, 'down': 20}"
1024,171,1024.515625,39.91215515136719,207,1004.828125,43.27671813964844,3.36456298828125,0.5757698880123415,0.1582163387199155,"{'down': 52, 'upgate': 119}","{'upgate': 157, 'down': 50}"
2048,350,2050.78125,84.92274475097656,405,2013.703125,83.46049499511719,-1.462249755859375,-0.25023142117107794,-0.06876132308176645,"{'down': 110, 'upgate': 240}","{'upgate': 276, 'down': 129}"
4096,734,4096.3125,183.4999542236328,795,4020.40625,157.36541748046875,-26.134536743164062,-4.472342870761007,-1.2289592235444509,"{'down': 227, 'upgate': 507}","{'upgate': 557, 'down': 238}"
