layer,kind,events,traffic_gib,unique_keys,prompt_count,proxy_hot_keys,proxy_hit_traffic_pct,next64_gain_gib,next64_gain_per_slot_mib,next64_avg_prompt_coverage,remove64_cost_gib,remove64_cost_per_slot_mib,remove64_avg_prompt_coverage
1,down,3904,22.9345703125,329,7,10,19.85143442622951,8.8824462890625,142.119140625,4.84375,4.5528411865234375,466.2109375,4.5
1,upgate,7808,34.193359375,658,7,20,19.85143442622951,8.11041259765625,129.7666015625,5.078125,6.787872314453125,347.5390625,4.5
2,down,3904,22.9345703125,329,7,16,27.561475409836067,8.547592163085938,136.761474609375,4.65625,6.32110595703125,404.55078125,4.375
2,upgate,7808,40.865234375,658,7,36,29.73872950819672,9.0020751953125,144.033203125,4.421875,12.152801513671875,345.6796875,4.111111111111111
3,down,3904,22.9345703125,342,7,10,20.74795081967213,7.836761474609375,125.38818359375,4.75,4.758453369140625,487.265625,4.8
3,upgate,7808,40.865234375,684,7,26,23.84733606557377,7.97625732421875,127.6201171875,4.625,9.745269775390625,383.8137019230769,4.769230769230769
4,down,3904,28.35546875,337,7,14,23.181352459016395,9.848876953125,157.58203125,5.0625,6.57318115234375,480.78125,5.285714285714286
4,upgate,7808,40.865234375,674,7,26,22.207991803278688,8.803192138671875,140.85107421875,5.28125,9.075347900390625,357.42908653846155,5.384615384615385
5,down,3904,22.9345703125,336,7,16,26.61372950819672,8.183364868164062,130.933837890625,5.0625,6.1037445068359375,390.6396484375,4.4375
5,upgate,7808,40.865234375,672,7,38,29.841188524590162,8.4158935546875,134.654296875,4.84375,12.194671630859375,328.6143092105263,4.631578947368421
6,upgate,7808,40.865234375,656,7,34,30.712090163934427,9.180023193359375,146.88037109375,4.4375,12.550567626953125,377.9935661764706,5.294117647058823
7,upgate,7808,37.529296875,682,7,30,30.707536429872494,7.9765777587890625,127.625244140625,4.546875,11.524322509765625,393.36354166666666,4.133333333333334
8,upgate,7808,37.529296875,682,7,26,27.342611566484518,8.1544189453125,130.470703125,4.765625,10.261489868164062,404.1448317307692,4.6923076923076925
9,upgate,7808,37.529296875,684,7,35,30.927538706739526,8.138931274414062,130.222900390625,4.859375,11.606887817382812,339.584375,4.8
10,upgate,7808,34.193359375,690,7,16,16.90573770491803,9.5643310546875,153.029296875,4.796875,5.7806396484375,369.9609375,5.5
11,down,3904,22.9345703125,326,7,11,25.87090163934426,8.559341430664062,136.949462890625,4.421875,5.933380126953125,552.34375,4.636363636363637
