layer,kind,top_k,calls,actual_events,actual_gib,byte_recall,precision,predicted_to_actual_byte_ratio,false_to_actual_byte_ratio,extra_to_actual_byte_ratio
12,down,16,488,3904,22.9345703125,0.14907786885245902,0.07453893442622951,2.0,1.850922131147541,1.0
12,upgate,8,976,7808,34.193359375,0.052766393442622954,0.052766393442622954,1.0,0.9472336065573771,0.0
12,upgate,10,976,7808,34.193359375,0.07607581967213115,0.06086065573770492,1.25,1.1739241803278688,0.25
12,upgate,12,976,7808,34.193359375,0.09528688524590163,0.06352459016393443,1.5,1.4047131147540983,0.5
12,upgate,16,976,7808,34.193359375,0.14907786885245902,0.07453893442622951,2.0,1.850922131147541,1.0
13,down,8,488,3904,22.9345703125,0.21132172131147542,0.21132172131147542,1.0,0.7886782786885246,0.0
13,down,10,488,3904,22.9345703125,0.2225922131147541,0.17807377049180328,1.25,1.0274077868852458,0.25
13,down,12,488,3904,22.9345703125,0.22899590163934427,0.1526639344262295,1.5,1.2710040983606556,0.5
13,down,16,488,3904,22.9345703125,0.27894467213114754,0.13947233606557377,2.0,1.7210553278688525,1.0
13,upgate,8,976,7808,34.193359375,0.21132172131147542,0.21132172131147542,1.0,0.7886782786885246,0.0
13,upgate,10,976,7808,34.193359375,0.2225922131147541,0.17807377049180328,1.25,1.0274077868852458,0.25
13,upgate,12,976,7808,34.193359375,0.22899590163934427,0.1526639344262295,1.5,1.2710040983606556,0.5
13,upgate,16,976,7808,34.193359375,0.27894467213114754,0.13947233606557377,2.0,1.7210553278688525,1.0
14,down,8,488,3904,22.9345703125,0.19082991803278687,0.19082991803278687,1.0,0.8091700819672131,0.0
14,down,10,488,3904,22.9345703125,0.2036372950819672,0.16290983606557377,1.25,1.0463627049180328,0.25
14,down,12,488,3904,22.9345703125,0.21413934426229508,0.14275956284153005,1.5,1.285860655737705,0.5
14,down,16,488,3904,22.9345703125,0.23668032786885246,0.11834016393442623,2.0,1.7633196721311475,1.0
14,upgate,8,976,7808,37.529296875,0.19082991803278687,0.19082991803278687,1.0,0.8091700819672131,0.0
14,upgate,10,976,7808,37.529296875,0.2036372950819672,0.16290983606557377,1.25,1.0463627049180328,0.25
14,upgate,12,976,7808,37.529296875,0.21413934426229508,0.14275956284153005,1.5,1.285860655737705,0.5
14,upgate,16,976,7808,37.529296875,0.23668032786885246,0.11834016393442623,2.0,1.7633196721311475,1.0
15,upgate,8,976,7808,34.193359375,0.1600922131147541,0.1600922131147541,1.0,0.8399077868852459,0.0
15,upgate,10,976,7808,34.193359375,0.17059426229508196,0.13647540983606557,1.25,1.079405737704918,0.25
15,upgate,12,976,7808,34.193359375,0.17725409836065573,0.11816939890710383,1.5,1.3227459016393444,0.5
15,upgate,16,976,7808,34.193359375,0.2067110655737705,0.10335553278688525,2.0,1.7932889344262295,1.0
16,down,8,488,3904,28.35546875,0.12730532786885246,0.12730532786885246,1.0,0.8726946721311475,0.0
16,down,10,488,3904,28.35546875,0.1411372950819672,0.11290983606557377,1.25,1.1088627049180328,0.25
