1781581087038,41, 32071, 0
1781581088073,41, 32071, 0
1781581089140,44, 32068, 0
1781581090173,44, 32068, 0
1781581091212,44, 32068, 0
1781581092247,44, 32068, 0
1781581093283,44, 32068, 0
1781581094318,44, 32068, 0
1781581095353,44, 32068, 0
1781581096387,44, 32068, 0
1781581097423,44, 32068, 0
1781581098453,44, 32068, 0
1781581099491,44, 32068, 0
1781581100526,931, 31181, 4
1781581101564,1699, 30413, 6
1781581102593,2595, 29517, 6
1781581103623,3621, 28491, 12
1781581104657,4773, 27339, 11
1781581105733,5925, 26187, 3
1781581106763,7845, 24267, 12
1781581107792,9509, 22603, 9
1781581108827,10277, 21835, 4
