1781581337690 12954072 9930056
1781581338728 12699936 9930136
1781581339756 12487456 9930336
1781581340793 12176452 9930372
1781581341823 11511348 9930404
1781581342860 10622140 9930468
1781581343896 9921444 9983796
1781581344934 10004200 9984164
1781581345970 10005080 9984176
1781581347008 9999492 9984240
1781581348047 9999868 9984252
1781581349078 10001160 9984344
1781581350121 7757408 9985288
1781581351152 5041108 9985328
1781581352177 1650972 9985340
1781581353209 1526264 9985352
1781581354263 1604804 7938084
1781581355323 2836388 6221304
1781581356348 2980132 6341440
1781581357377 2935744 6364088
1781581358404 1840388 6366012
1781581359434 950472 6366204
1781581360464 1355392 5245572
1781581361523 2976204 3312668
1781581362548 4488084 1603864
1781581363570 5614196 67988
1781581364594 5658876 256
1781581365622 5563164 16
1781581366645 5467740 224
1781581367670 5480852 32
1781581368695 5289632 4
1781581369721 5281460 92
1781581370743 5248532 5176
1781581371768 5065880 10864
1781581372794 4916260 148696
1781581373814 5403832 348712
1781581374835 5886724 556980
1781581375863 5733520 887464
1781581376883 5707824 1129592
1781581377902 5764788 1370092
1781581378922 5752448 1672044
1781581379941 5604944 1999152
1781581380960 5257464 2353144
1781581381980 10985028 7965504
1781581383003 10724876 7969648
1781581384026 10475440 8018704
