predictor,horizon,budget,bundle,samples,recall,precision,full_step_pct,pred_over_actual_bytes,predicted_gib_per_token,useful_gib_per_token,waste_gib_per_token
hybrid_recent,1,16,all,10620,0.4867,0.2434,0.0060,2.0000,43.5328,10.5614,32.9714
hybrid_recent,1,16,upgate,10620,0.4867,0.2434,0.0060,2.0000,26.0681,6.3215,19.7465
hybrid_recent,1,16,down,10620,0.4867,0.2434,0.0060,2.0000,17.4647,4.2398,13.2249
hybrid_balanced,3,16,all,10260,0.4856,0.2428,0.0049,2.0000,42.0146,10.1711,31.8434
hybrid_balanced,3,16,upgate,10260,0.4856,0.2428,0.0049,2.0000,25.0956,6.0735,19.0221
hybrid_balanced,3,16,down,10260,0.4856,0.2428,0.0049,2.0000,16.9189,4.0976,12.8213
hybrid_prev,3,16,all,10260,0.4848,0.2424,0.0048,2.0000,42.0146,10.1545,31.8600
hybrid_prev,3,16,upgate,10260,0.4848,0.2424,0.0048,2.0000,25.0956,6.0638,19.0318
hybrid_prev,3,16,down,10260,0.4848,0.2424,0.0048,2.0000,16.9189,4.0907,12.8282
hybrid_balanced,2,16,all,10440,0.4836,0.2418,0.0048,2.0000,42.7737,10.3100,32.4637
hybrid_balanced,2,16,upgate,10440,0.4836,0.2418,0.0048,2.0000,25.5818,6.1626,19.4193
hybrid_balanced,2,16,down,10440,0.4836,0.2418,0.0048,2.0000,17.1918,4.1474,13.0445
hybrid_prev,2,16,all,10440,0.4826,0.2413,0.0047,2.0000,42.7737,10.2895,32.4842
hybrid_prev,2,16,upgate,10440,0.4826,0.2413,0.0047,2.0000,25.5818,6.1505,19.4314
hybrid_prev,2,16,down,10440,0.4826,0.2413,0.0047,2.0000,17.1918,4.1390,13.0529
hybrid_balanced,1,16,all,10620,0.4821,0.2411,0.0051,2.0000,43.5328,10.4628,33.0700
hybrid_balanced,1,16,upgate,10620,0.4821,0.2411,0.0051,2.0000,26.0681,6.2606,19.8075
hybrid_balanced,1,16,down,10620,0.4821,0.2411,0.0051,2.0000,17.4647,4.2022,13.2625
hybrid_prev,1,16,all,10620,0.4816,0.2408,0.0050,2.0000,43.5328,10.4510,33.0818
hybrid_prev,1,16,upgate,10620,0.4816,0.2408,0.0050,2.0000,26.0681,6.2535,19.8146
hybrid_prev,1,16,down,10620,0.4816,0.2408,0.0050,2.0000,17.4647,4.1974,13.2673
recent_lfu,3,16,upgate,10260,0.4608,0.2356,0.0060,1.9560,24.5433,5.7677,18.7756
recent_lfu,3,16,all,10260,0.4608,0.2356,0.0060,1.9562,41.0937,9.6489,31.4448
recent_lfu,3,16,down,10260,0.4608,0.2356,0.0060,1.9564,16.5504,3.8812,12.6692
recent_lfu,2,16,upgate,10440,0.4580,0.2341,0.0059,1.9561,25.0197,5.8396,19.1801
recent_lfu,2,16,all,10440,0.4580,0.2341,0.0059,1.9562,41.8375,9.7611,32.0764
recent_lfu,2,16,down,10440,0.4580,0.2341,0.0059,1.9565,16.8178,3.9216,12.8962
recent_lfu,1,16,upgate,10620,0.4561,0.2331,0.0059,1.9561,25.4963,5.9235,19.5728
recent_lfu,1,16,all,10620,0.4561,0.2331,0.0059,1.9563,42.5816,9.8921,32.6895
recent_lfu,1,16,down,10620,0.4561,0.2331,0.0059,1.9565,17.0853,3.9686,13.1166
hybrid_cooc,3,16,all,10260,0.4559,0.2280,0.0034,2.0000,42.0146,9.5486,32.4660
hybrid_cooc,3,16,upgate,10260,0.4559,0.2280,0.0034,2.0000,25.0956,5.7012,19.3944
hybrid_cooc,3,16,down,10260,0.4559,0.2280,0.0034,2.0000,16.9189,3.8474,13.0716
hybrid_cooc,2,16,all,10440,0.4540,0.2270,0.0031,2.0000,42.7737,9.6786,33.0951
hybrid_cooc,2,16,upgate,10440,0.4540,0.2270,0.0031,2.0000,25.5818,5.7845,19.7974
hybrid_cooc,2,16,down,10440,0.4540,0.2270,0.0031,2.0000,17.1918,3.8941,13.2977
hybrid_cooc,1,16,all,10620,0.4534,0.2267,0.0026,2.0000,43.5328,9.8387,33.6941
hybrid_cooc,1,16,upgate,10620,0.4534,0.2267,0.0026,2.0000,26.0681,5.8860,20.1821
hybrid_cooc,1,16,down,10620,0.4534,0.2267,0.0026,2.0000,17.4647,3.9527,13.5120
hybrid_balanced,3,8,all,10260,0.3667,0.3667,0.0008,1.0000,21.0073,7.6717,13.3356
hybrid_balanced,3,8,upgate,10260,0.3667,0.3667,0.0008,1.0000,12.5478,4.5927,7.9551
hybrid_balanced,3,8,down,10260,0.3667,0.3667,0.0008,1.0000,8.4595,3.0790,5.3805
hybrid_balanced,2,8,all,10440,0.3648,0.3648,0.0007,1.0000,21.3868,7.7688,13.6181
hybrid_balanced,2,8,upgate,10440,0.3648,0.3648,0.0007,1.0000,12.7909,4.6544,8.1366
hybrid_balanced,2,8,down,10440,0.3648,0.3648,0.0007,1.0000,8.5959,3.1144,5.4815
hybrid_recent,3,8,all,10260,0.3624,0.3624,0.0008,1.0000,21.0073,7.5809,13.4264
hybrid_recent,3,8,upgate,10260,0.3624,0.3624,0.0008,1.0000,12.5478,4.5404,8.0074
hybrid_recent,3,8,down,10260,0.3624,0.3624,0.0008,1.0000,8.4595,3.0405,5.4190
hybrid_balanced,1,8,all,10620,0.3619,0.3619,0.0008,1.0000,21.7664,7.8446,13.9218
hybrid_balanced,1,8,upgate,10620,0.3619,0.3619,0.0008,1.0000,13.0340,4.7032,8.3308
hybrid_balanced,1,8,down,10620,0.3619,0.3619,0.0008,1.0000,8.7324,3.1414,5.5910
hybrid_prev,3,8,all,10260,0.3604,0.3604,0.0009,1.0000,21.0073,7.5390,13.4683
hybrid_prev,3,8,upgate,10260,0.3604,0.3604,0.0009,1.0000,12.5478,4.5159,8.0319
hybrid_prev,3,8,down,10260,0.3604,0.3604,0.0009,1.0000,8.4595,3.0232,5.4363
hybrid_recent,2,8,all,10440,0.3600,0.3600,0.0008,1.0000,21.3868,7.6664,13.7204
hybrid_recent,2,8,upgate,10440,0.3600,0.3600,0.0008,1.0000,12.7909,4.5953,8.1956
hybrid_recent,2,8,down,10440,0.3600,0.3600,0.0008,1.0000,8.5959,3.0712,5.5248
previous_same_layer,3,8,all,10260,0.3584,0.3624,0.0009,0.9889,20.7739,7.4966,13.2773
previous_same_layer,3,8,upgate,10260,0.3584,0.3624,0.0009,0.9889,12.4084,4.4910,7.9174
previous_same_layer,3,8,down,10260,0.3584,0.3624,0.0009,0.9889,8.3655,3.0056,5.3599
previous_same_layer,3,16,all,10260,0.3584,0.3624,0.0009,0.9889,20.7739,7.4966,13.2773
previous_same_layer,3,16,upgate,10260,0.3584,0.3624,0.0009,0.9889,12.4084,4.4910,7.9174
previous_same_layer,3,16,down,10260,0.3584,0.3624,0.0009,0.9889,8.3655,3.0056,5.3599
previous_same_layer,3,32,all,10260,0.3584,0.3624,0.0009,0.9889,20.7739,7.4966,13.2773
previous_same_layer,3,32,upgate,10260,0.3584,0.3624,0.0009,0.9889,12.4084,4.4910,7.9174
previous_same_layer,3,32,down,10260,0.3584,0.3624,0.0009,0.9889,8.3655,3.0056,5.3599
hybrid_prev,2,8,all,10440,0.3581,0.3581,0.0009,1.0000,21.3868,7.6242,13.7626
hybrid_prev,2,8,upgate,10440,0.3581,0.3581,0.0009,1.0000,12.7909,4.5703,8.2206
hybrid_prev,2,8,down,10440,0.3581,0.3581,0.0009,1.0000,8.5959,3.0539,5.5420
hybrid_recent,1,8,all,10620,0.3575,0.3575,0.0008,1.0000,21.7664,7.7455,14.0209
hybrid_recent,1,8,upgate,10620,0.3575,0.3575,0.0008,1.0000,13.0340,4.6459,8.3881
hybrid_recent,1,8,down,10620,0.3575,0.3575,0.0008,1.0000,8.7324,3.0996,5.6328
previous_same_layer,2,8,all,10440,0.3558,0.3598,0.0009,0.9889,21.1492,7.5746,13.5746
previous_same_layer,2,8,upgate,10440,0.3558,0.3598,0.0009,0.9889,12.6488,4.5409,8.1079
previous_same_layer,2,8,down,10440,0.3558,0.3598,0.0009,0.9889,8.5004,3.0337,5.4667
previous_same_layer,2,16,all,10440,0.3558,0.3598,0.0009,0.9889,21.1492,7.5746,13.5746
previous_same_layer,2,16,upgate,10440,0.3558,0.3598,0.0009,0.9889,12.6488,4.5409,8.1079
previous_same_layer,2,16,down,10440,0.3558,0.3598,0.0009,0.9889,8.5004,3.0337,5.4667
previous_same_layer,2,32,all,10440,0.3558,0.3598,0.0009,0.9889,21.1492,7.5746,13.5746
previous_same_layer,2,32,upgate,10440,0.3558,0.3598,0.0009,0.9889,12.6488,4.5409,8.1079
previous_same_layer,2,32,down,10440,0.3558,0.3598,0.0009,0.9889,8.5004,3.0337,5.4667
hybrid_prev,1,8,all,10620,0.3556,0.3556,0.0008,1.0000,21.7664,7.7055,14.0609
hybrid_prev,1,8,upgate,10620,0.3556,0.3556,0.0008,1.0000,13.0340,4.6223,8.4117
hybrid_prev,1,8,down,10620,0.3556,0.3556,0.0008,1.0000,8.7324,3.0832,5.6492
previous_same_layer,1,8,all,10620,0.3534,0.3573,0.0008,0.9889,21.5245,7.6558,13.8688
previous_same_layer,1,8,upgate,10620,0.3534,0.3573,0.0008,0.9889,12.8892,4.5929,8.2963
previous_same_layer,1,8,down,10620,0.3534,0.3573,0.0008,0.9889,8.6353,3.0628,5.5725
previous_same_layer,1,16,all,10620,0.3534,0.3573,0.0008,0.9889,21.5245,7.6558,13.8688
previous_same_layer,1,16,upgate,10620,0.3534,0.3573,0.0008,0.9889,12.8892,4.5929,8.2963
previous_same_layer,1,16,down,10620,0.3534,0.3573,0.0008,0.9889,8.6353,3.0628,5.5725
previous_same_layer,1,32,all,10620,0.3534,0.3573,0.0008,0.9889,21.5245,7.6558,13.8688
previous_same_layer,1,32,upgate,10620,0.3534,0.3573,0.0008,0.9889,12.8892,4.5929,8.2963
previous_same_layer,1,32,down,10620,0.3534,0.3573,0.0008,0.9889,8.6353,3.0628,5.5725
recent_lfu,3,8,all,10260,0.3452,0.3491,0.0003,0.9889,20.7739,7.2242,13.5497
recent_lfu,3,8,upgate,10260,0.3452,0.3491,0.0003,0.9889,12.4084,4.3228,8.0856
recent_lfu,3,8,down,10260,0.3452,0.3491,0.0003,0.9889,8.3655,2.9014,5.4640
recent_lfu,2,8,all,10440,0.3432,0.3471,0.0003,0.9889,21.1492,7.3114,13.8378
recent_lfu,2,8,upgate,10440,0.3432,0.3471,0.0003,0.9889,12.6488,4.3786,8.2702
recent_lfu,2,8,down,10440,0.3432,0.3471,0.0003,0.9889,8.5004,2.9328,5.5676
recent_lfu,1,8,all,10620,0.3412,0.3451,0.0003,0.9889,21.5245,7.3974,14.1272
recent_lfu,1,8,upgate,10620,0.3412,0.3451,0.0003,0.9889,12.8892,4.4337,8.4555
recent_lfu,1,8,down,10620,0.3412,0.3451,0.0003,0.9889,8.6353,2.9637,5.6716
hybrid_cooc,2,8,all,10440,0.3129,0.3129,0.0000,1.0000,21.3868,6.6686,14.7182
hybrid_cooc,2,8,upgate,10440,0.3129,0.3129,0.0000,1.0000,12.7909,3.9862,8.8047
hybrid_cooc,2,8,down,10440,0.3129,0.3129,0.0000,1.0000,8.5959,2.6824,5.9135
hybrid_cooc,3,8,all,10260,0.3116,0.3116,0.0000,1.0000,21.0073,6.5271,14.4802
hybrid_cooc,3,8,upgate,10260,0.3116,0.3116,0.0000,1.0000,12.5478,3.8973,8.6505
hybrid_cooc,3,8,down,10260,0.3116,0.3116,0.0000,1.0000,8.4595,2.6298,5.8297
hybrid_cooc,1,8,all,10620,0.3090,0.3090,0.0001,1.0000,21.7664,6.7066,15.0598
hybrid_cooc,1,8,upgate,10620,0.3090,0.3090,0.0001,1.0000,13.0340,4.0128,9.0212
hybrid_cooc,1,8,down,10620,0.3090,0.3090,0.0001,1.0000,8.7324,2.6938,6.0385
cooc,3,32,all,10260,0.2673,0.0668,0.0011,4.0000,84.0291,5.6149,78.4142
cooc,3,32,upgate,10260,0.2673,0.0668,0.0011,4.0000,50.1912,3.3273,46.8640
cooc,3,32,down,10260,0.2673,0.0668,0.0011,4.0000,33.8379,2.2876,31.5502
cooc,2,32,all,10440,0.2665,0.0666,0.0018,4.0000,85.5473,5.6996,79.8478
cooc,2,32,upgate,10440,0.2665,0.0666,0.0018,4.0000,51.1637,3.3833,47.7804
cooc,2,32,down,10440,0.2665,0.0666,0.0018,4.0000,34.3837,2.3163,32.0674
cooc,1,32,all,10620,0.2654,0.0663,0.0013,4.0000,87.0656,5.7773,81.2883
cooc,1,32,upgate,10620,0.2654,0.0663,0.0013,4.0000,52.1362,3.4356,48.7006
cooc,1,32,down,10620,0.2654,0.0663,0.0013,4.0000,34.9294,2.3417,32.5878
global_hot,3,32,all,10260,0.2168,0.0542,0.0000,4.0000,84.0291,4.5555,79.4736
global_hot,3,32,upgate,10260,0.2168,0.0542,0.0000,4.0000,50.1912,2.6964,47.4948
global_hot,3,32,down,10260,0.2168,0.0542,0.0000,4.0000,33.8379,1.8592,31.9787
global_hot,2,32,all,10440,0.2159,0.0540,0.0000,4.0000,85.5473,4.6167,80.9307
global_hot,2,32,upgate,10440,0.2159,0.0540,0.0000,4.0000,51.1637,2.7355,48.4281
global_hot,2,32,down,10440,0.2159,0.0540,0.0000,4.0000,34.3837,1.8811,32.5025
