prompt,predictor,horizon,budget,bundle,samples,targets,predicted,hits,recall,precision,full_step_pct,pred_over_actual_bytes,target_gib,predicted_gib,useful_gib,waste_gib
dev_france_regression,hybrid_balanced,1,16,down,5015,40120,80240,19376,0.4830,0.2415,0.0040,2.0000,255.6641,511.3281,122.9848,388.3433
dev_france_regression,hybrid_balanced,1,32,all,5015,40120,160480,23821,0.5937,0.1484,0.0257,4.0000,637.2717,2549.0869,377.4691,2171.6178
dev_france_regression,hybrid_balanced,1,32,upgate,5015,40120,160480,23821,0.5937,0.1484,0.0257,4.0000,381.6077,1526.4307,225.9604,1300.4702
dev_france_regression,hybrid_balanced,1,32,down,5015,40120,160480,23821,0.5937,0.1484,0.0257,4.0000,255.6641,1022.6562,151.5087,871.1475
dev_france_regression,hybrid_cooc,1,8,all,5015,40120,40120,12607,0.3142,0.3142,0.0000,1.0000,637.2717,637.2717,199.7171,437.5546
dev_france_regression,hybrid_cooc,1,8,upgate,5015,40120,40120,12607,0.3142,0.3142,0.0000,1.0000,381.6077,381.6077,119.7671,261.8405
dev_france_regression,hybrid_cooc,1,8,down,5015,40120,40120,12607,0.3142,0.3142,0.0000,1.0000,255.6641,255.6641,79.9500,175.7140
dev_france_regression,hybrid_cooc,1,16,all,5015,40120,80240,18234,0.4545,0.2272,0.0018,2.0000,637.2717,1274.5435,288.7235,985.8199
dev_france_regression,hybrid_cooc,1,16,upgate,5015,40120,80240,18234,0.4545,0.2272,0.0018,2.0000,381.6077,763.2153,173.0214,590.1939
dev_france_regression,hybrid_cooc,1,16,down,5015,40120,80240,18234,0.4545,0.2272,0.0018,2.0000,255.6641,511.3281,115.7021,395.6260
dev_france_regression,hybrid_cooc,1,32,all,5015,40120,160480,22832,0.5691,0.1423,0.0179,4.0000,637.2717,2549.0869,361.7467,2187.3402
dev_france_regression,hybrid_cooc,1,32,upgate,5015,40120,160480,22832,0.5691,0.1423,0.0179,4.0000,381.6077,1526.4307,216.5223,1309.9083
dev_france_regression,hybrid_cooc,1,32,down,5015,40120,160480,22832,0.5691,0.1423,0.0179,4.0000,255.6641,1022.6562,145.2244,877.4319
dev_france_regression,hybrid_recent,1,8,all,5015,40120,40120,14418,0.3594,0.3594,0.0006,1.0000,637.2717,637.2717,228.0228,409.2489
dev_france_regression,hybrid_recent,1,8,upgate,5015,40120,40120,14418,0.3594,0.3594,0.0006,1.0000,381.6077,381.6077,137.1242,244.4835
dev_france_regression,hybrid_recent,1,8,down,5015,40120,40120,14418,0.3594,0.3594,0.0006,1.0000,255.6641,255.6641,90.8986,164.7654
dev_france_regression,hybrid_recent,1,16,all,5015,40120,80240,19549,0.4873,0.2436,0.0038,2.0000,637.2717,1274.5435,309.5380,965.0055
dev_france_regression,hybrid_recent,1,16,upgate,5015,40120,80240,19549,0.4873,0.2436,0.0038,2.0000,381.6077,763.2153,185.5421,577.6732
