prompt,quality,token_rate,decode_ms_per_token,ttft_ms,ram_peak_gib,fallback_rows,extension_miss,upgate_ms_per_token,upgate_wait_ms_per_token,down_ms_per_token,down_stage_ms_per_token
dev_france_regression,pass,1.520,657.499,11867.620,11.930,0,0,442.823,256.395,171.889,160.302
dev_intelligence_general,pass,1.550,645.373,9917.750,11.769,0,0,439.785,248.609,170.367,159.169
