op,role,tensor,expert_bytes,calls,failures,bytes,wall_ms
runtime_load,gate,blk.44.ffn_gate_exps.weight,5619712,161,0,904773632,333.523
runtime_load,up,blk.48.ffn_up_exps.weight,4702208,171,0,804077568,338.107
runtime_load,up,blk.5.ffn_up_exps.weight,5619712,116,0,651886592,170.619
runtime_load,up,blk.44.ffn_up_exps.weight,4702208,161,0,757055488,320.621
current_down_overlap,down,blk.44.ffn_down_exps.weight,6307840,160,0,1009254400,302.987
runtime_load,gate,blk.43.ffn_gate_exps.weight,5619712,172,0,966590464,355.702
runtime_load,up,blk.30.ffn_up_exps.weight,4702208,194,0,912228352,351.508
runtime_load,gate,blk.45.ffn_gate_exps.weight,5619712,163,0,916013056,322.912
current_down_overlap,down,blk.31.ffn_down_exps.weight,6307840,146,0,920944640,249.390
runtime_load,up,blk.46.ffn_up_exps.weight,4702208,164,0,771162112,342.475
current_down_overlap,down,blk.46.ffn_down_exps.weight,6307840,164,0,1034485760,323.257
current_down_overlap,down,blk.48.ffn_down_exps.weight,6307840,171,0,1078640640,319.201
runtime_load,gate,blk.49.ffn_gate_exps.weight,5619712,169,0,949731328,352.282
