scope,prompt,top_k,kind,calls,predictable_call_ratio,actual_events,recall,precision,byte_recall,predicted_to_actual_byte_ratio
aggregate,all,8,all,11520,1.0,113571,0.09076260665134585,0.11184895833333333,0.09078216588973881,0.8116659618780834
aggregate,all,8,down,3840,1.0,37857,0.09076260665134585,0.11184895833333333,0.09268571910339211,0.8122097705676017
aggregate,all,8,gate,3840,1.0,37857,0.09076260665134585,0.11184895833333333,0.0884830891051555,0.8107221625289827
aggregate,all,8,up,3840,1.0,37857,0.09076260665134585,0.11184895833333333,0.09061823336625746,0.8119298710021777
fold,dev_france_regression,8,all,5760,1.0,57837,0.08750453861714819,0.10983072916666667,0.08767461512100838,0.7968887601815519
fold,dev_france_regression,8,down,1920,1.0,19279,0.08750453861714819,0.10983072916666667,0.08951236154210139,0.7975244673221495
fold,dev_france_regression,8,gate,1920,1.0,19279,0.08750453861714819,0.10983072916666667,0.0854176784166118,0.7959022304670107
fold,dev_france_regression,8,up,1920,1.0,19279,0.08750453861714819,0.10983072916666667,0.08755730150152703,0.797071020467641
fold,dev_intelligence_general,8,all,5760,1.0,55734,0.09414361072235979,0.1138671875,0.094007144674955,0.8270015639399105
fold,dev_intelligence_general,8,down,1920,1.0,18578,0.09414361072235979,0.1138671875,0.09597813488310697,0.8274460378968839
fold,dev_intelligence_general,8,gate,1920,1.0,18578,0.09414361072235979,0.1138671875,0.09166482345956392,0.8261044690981478
fold,dev_intelligence_general,8,up,1920,1.0,18578,0.09414361072235979,0.1138671875,0.09379545574863175,0.8273532370165146
aggregate,all,16,all,11520,1.0,113571,0.15724964999867924,0.09689127604166667,0.15725775390490532,1.6233319237561668
aggregate,all,16,down,3840,1.0,37857,0.15724964999867924,0.09689127604166667,0.15995837779912628,1.6244195411352034
aggregate,all,16,gate,3840,1.0,37857,0.15724964999867924,0.09689127604166667,0.15395771890710533,1.6214443250579653
aggregate,all,16,up,3840,1.0,37857,0.15724964999867924,0.09689127604166667,0.15706661537348263,1.6238597420043555
fold,dev_france_regression,16,all,5760,1.0,57837,0.15301623528191297,0.09602864583333333,0.1531250906065108,1.5937775203631037
fold,dev_france_regression,16,down,1920,1.0,19279,0.15301623528191297,0.09602864583333333,0.15545104313446637,1.595048934644299
fold,dev_france_regression,16,gate,1920,1.0,19279,0.15301623528191297,0.09602864583333333,0.15024332469350285,1.5918044609340214
fold,dev_france_regression,16,up,1920,1.0,19279,0.15301623528191297,0.09602864583333333,0.15300396480852949,1.594142040935282
fold,dev_intelligence_general,16,all,5760,1.0,55734,0.16164280331574982,0.09775390625,0.16154658213512238,1.654003127879821
