# fastllm_disk_moe_route_profile_v1
# merge_runs=2405 routed_refs=16946
layer	expert	hits	bytes_per_hit	total_bytes
40	104	61	13369344	815529984
20	218	56	13369344	748683264
40	168	56	13369344	748683264
40	221	56	13369344	748683264
7	141	54	13369344	721944576
7	233	54	13369344	721944576
22	166	53	13369344	708575232
6	203	52	13369344	695205888
8	28	50	13369344	668467200
41	97	48	13369344	641728512
6	1	47	13369344	628359168
36	223	47	13369344	628359168
41	167	47	13369344	628359168
39	243	46	13369344	614989824
7	160	45	13369344	601620480
9	114	43	13369344	574881792
9	191	43	13369344	574881792
23	197	43	13369344	574881792
10	64	42	13369344	561512448
6	16	41	13369344	548143104
13	148	41	13369344	548143104
38	12	41	13369344	548143104
7	122	40	13369344	534773760
22	54	40	13369344	534773760
24	123	40	13369344	534773760
42	178	40	13369344	534773760
17	5	39	13369344	521404416
33	41	39	13369344	521404416
8	120	38	13369344	508035072
19	46	38	13369344	508035072
39	85	38	13369344	508035072
18	50	37	13369344	494665728
18	177	37	13369344	494665728
32	193	37	13369344	494665728
37	222	37	13369344	494665728
40	206	36	13369344	481296384
41	52	36	13369344	481296384
6	83	35	13369344	467927040
10	14	35	13369344	467927040
15	207	35	13369344	467927040
20	219	35	13369344	467927040
26	239	35	13369344	467927040
33	58	35	13369344	467927040
11	94	34	13369344	454557696
11	109	34	13369344	454557696
30	212	34	13369344	454557696
32	117	34	13369344	454557696
8	128	33	13369344	441188352
18	179	33	13369344	441188352
19	185	33	13369344	441188352
7	214	32	13369344	427819008
10	40	32	13369344	427819008
27	2	32	13369344	427819008
11	232	31	13369344	414449664
12	244	31	13369344	414449664
13	179	31	13369344	414449664
19	176	31	13369344	414449664
21	49	31	13369344	414449664
24	0	31	13369344	414449664
37	61	31	13369344	414449664
41	4	31	13369344	414449664
26	191	30	13369344	401080320
35	174	30	13369344	401080320
8	113	29	13369344	387710976
9	40	29	13369344	387710976
14	200	28	13369344	374341632
15	188	28	13369344	374341632
22	173	28	13369344	374341632
36	43	28	13369344	374341632
10	89	27	13369344	360972288
17	53	27	13369344	360972288
25	65	27	13369344	360972288
32	234	27	13369344	360972288
37	131	27	13369344	360972288
7	213	26	13369344	347602944
12	19	26	13369344	347602944
13	146	26	13369344	347602944
17	115	26	13369344	347602944
17	146	26	13369344	347602944
17	189	26	13369344	347602944
24	121	26	13369344	347602944
33	74	26	13369344	347602944
34	10	26	13369344	347602944
12	122	25	13369344	334233600
12	228	25	13369344	334233600
18	116	25	13369344	334233600
25	244	25	13369344	334233600
33	121	25	13369344	334233600
34	44	25	13369344	334233600
34	173	25	13369344	334233600
37	214	25	13369344	334233600
42	70	25	13369344	334233600
6	86	24	13369344	320864256
9	3	24	13369344	320864256
10	56	24	13369344	320864256
10	62	24	13369344	320864256
13	4	24	13369344	320864256
15	36	24	13369344	320864256
33	254	24	13369344	320864256
36	106	24	13369344	320864256
42	25	24	13369344	320864256
6	233	23	13369344	307494912
12	255	23	13369344	307494912
14	1	23	13369344	307494912
14	61	23	13369344	307494912
14	125	23	13369344	307494912
14	235	23	13369344	307494912
16	25	23	13369344	307494912
16	81	23	13369344	307494912
18	227	23	13369344	307494912
20	241	23	13369344	307494912
26	253	23	13369344	307494912
27	25	23	13369344	307494912
33	116	23	13369344	307494912
40	74	23	13369344	307494912
42	15	23	13369344	307494912
12	124	22	13369344	294125568
14	89	22	13369344	294125568
14	188	22	13369344	294125568
16	172	22	13369344	294125568
20	131	22	13369344	294125568
25	9	22	13369344	294125568
29	236	22	13369344	294125568
38	10	22	13369344	294125568
42	234	22	13369344	294125568
9	236	21	13369344	280756224
12	133	21	13369344	280756224
14	173	21	13369344	280756224
15	27	21	13369344	280756224
18	211	21	13369344	280756224
20	236	21	13369344	280756224
21	19	21	13369344	280756224
21	25	21	13369344	280756224
22	246	21	13369344	280756224
26	79	21	13369344	280756224
30	3	21	13369344	280756224
30	23	21	13369344	280756224
37	55	21	13369344	280756224
42	90	21	13369344	280756224
6	88	20	13369344	267386880
6	187	20	13369344	267386880
8	25	20	13369344	267386880
8	77	20	13369344	267386880
9	179	20	13369344	267386880
13	143	20	13369344	267386880
16	15	20	13369344	267386880
16	19	20	13369344	267386880
18	89	20	13369344	267386880
18	90	20	13369344	267386880
19	184	20	13369344	267386880
29	140	20	13369344	267386880
29	178	20	13369344	267386880
29	220	20	13369344	267386880
29	226	20	13369344	267386880
31	19	20	13369344	267386880
41	235	20	13369344	267386880
11	219	19	13369344	254017536
11	240	19	13369344	254017536
16	57	19	13369344	254017536
16	227	19	13369344	254017536
26	163	19	13369344	254017536
27	1	19	13369344	254017536
29	165	19	13369344	254017536
30	37	19	13369344	254017536
35	232	19	13369344	254017536
42	0	19	13369344	254017536
42	253	19	13369344	254017536
11	34	18	13369344	240648192
20	159	18	13369344	240648192
21	142	18	13369344	240648192
22	103	18	13369344	240648192
23	0	18	13369344	240648192
28	88	18	13369344	240648192
29	187	18	13369344	240648192
35	62	18	13369344	240648192
35	66	18	13369344	240648192
35	244	18	13369344	240648192
36	233	18	13369344	240648192
38	234	18	13369344	240648192
7	78	17	13369344	227278848
7	197	17	13369344	227278848
8	91	17	13369344	227278848
17	22	17	13369344	227278848
19	49	17	13369344	227278848
21	222	17	13369344	227278848
24	183	17	13369344	227278848
24	203	17	13369344	227278848
25	247	17	13369344	227278848
26	26	17	13369344	227278848
28	207	17	13369344	227278848
33	90	17	13369344	227278848
33	164	17	13369344	227278848
33	241	17	13369344	227278848
37	123	17	13369344	227278848
38	27	17	13369344	227278848
38	98	17	13369344	227278848
38	210	17	13369344	227278848
39	6	17	13369344	227278848
39	36	17	13369344	227278848
39	101	17	13369344	227278848
40	153	17	13369344	227278848
42	22	17	13369344	227278848
42	131	17	13369344	227278848
8	76	16	13369344	213909504
9	120	16	13369344	213909504
10	11	16	13369344	213909504
12	127	16	13369344	213909504
16	221	16	13369344	213909504
19	153	16	13369344	213909504
23	33	16	13369344	213909504
23	49	16	13369344	213909504
24	59	16	13369344	213909504
25	120	16	13369344	213909504
26	184	16	13369344	213909504
28	28	16	13369344	213909504
32	78	16	13369344	213909504
34	229	16	13369344	213909504
35	80	16	13369344	213909504
36	159	16	13369344	213909504
36	222	16	13369344	213909504
37	204	16	13369344	213909504
39	87	16	13369344	213909504
