seq,t_ms,op,tensor,expert_idx,expert_bytes,cache_hit,pack_hit,ram_hit,copy_ms
60,264.149,cpu_gate_route,blk.3.ffn_gate_exps.weight,41,4030464,0,0,0,0.000
61,264.150,cpu_up_route,blk.3.ffn_up_exps.weight,26,4030464,0,0,0,0.000
62,264.150,cpu_gate_route,blk.3.ffn_gate_exps.weight,26,4030464,0,0,0,0.000
63,264.150,cpu_up_route,blk.3.ffn_up_exps.weight,166,4030464,0,0,0,0.000
64,264.150,cpu_gate_route,blk.3.ffn_gate_exps.weight,166,4030464,0,0,0,0.000
65,264.150,cpu_up_route,blk.3.ffn_up_exps.weight,233,4030464,0,0,0,0.000
66,264.154,cpu_gate_route,blk.3.ffn_gate_exps.weight,233,4030464,0,0,0,0.000
67,264.154,cpu_up_route,blk.3.ffn_up_exps.weight,15,4030464,0,0,0,0.000
68,264.154,cpu_gate_route,blk.3.ffn_gate_exps.weight,15,4030464,0,0,0,0.000
69,264.154,cpu_up_route,blk.3.ffn_up_exps.weight,174,4030464,0,0,0,0.000
70,264.154,cpu_gate_route,blk.3.ffn_gate_exps.weight,174,4030464,0,0,0,0.000
71,264.154,cpu_up_route,blk.3.ffn_up_exps.weight,11,4030464,0,0,0,0.000
72,264.154,cpu_gate_route,blk.3.ffn_gate_exps.weight,11,4030464,0,0,0,0.000
73,264.155,cpu_up_route,blk.3.ffn_up_exps.weight,163,4030464,0,0,0,0.000
74,264.155,cpu_gate_route,blk.3.ffn_gate_exps.weight,163,4030464,0,0,0,0.000
75,264.155,cpu_up_route,blk.3.ffn_up_exps.weight,41,4030464,0,0,0,0.000
76,264.155,cpu_gate_route,blk.3.ffn_gate_exps.weight,41,4030464,0,0,0,0.000
77,264.155,cpu_up_route,blk.3.ffn_up_exps.weight,26,4030464,0,0,0,0.000
78,264.155,cpu_gate_route,blk.3.ffn_gate_exps.weight,26,4030464,0,0,0,0.000
79,264.155,cpu_up_route,blk.3.ffn_up_exps.weight,166,4030464,0,0,0,0.000
80,264.155,cpu_gate_route,blk.3.ffn_gate_exps.weight,166,4030464,0,0,0,0.000
81,264.155,cpu_up_route,blk.3.ffn_up_exps.weight,233,4030464,0,0,0,0.000
82,264.155,cpu_gate_route,blk.3.ffn_gate_exps.weight,233,4030464,0,0,0,0.000
83,264.155,cpu_up_route,blk.3.ffn_up_exps.weight,15,4030464,0,0,0,0.000
84,264.155,cpu_gate_route,blk.3.ffn_gate_exps.weight,15,4030464,0,0,0,0.000
85,264.155,cpu_up_route,blk.3.ffn_up_exps.weight,174,4030464,0,0,0,0.000
86,264.155,cpu_gate_route,blk.3.ffn_gate_exps.weight,174,4030464,0,0,0,0.000
87,264.155,cpu_up_route,blk.3.ffn_up_exps.weight,11,4030464,0,0,0,0.000
88,264.156,cpu_gate_route,blk.3.ffn_gate_exps.weight,11,4030464,0,0,0,0.000
89,264.156,cpu_up_route,blk.3.ffn_up_exps.weight,163,4030464,0,0,0,0.000
90,264.156,cpu_gate_route,blk.3.ffn_gate_exps.weight,163,4030464,0,0,0,0.000
91,264.157,cpu_up_route,blk.3.ffn_up_exps.weight,41,4030464,0,0,0,0.000
92,264.157,cpu_gate_route,blk.3.ffn_gate_exps.weight,41,4030464,0,0,0,0.000
93,264.157,cpu_up_route,blk.3.ffn_up_exps.weight,26,4030464,0,0,0,0.000
94,264.157,cpu_gate_route,blk.3.ffn_gate_exps.weight,26,4030464,0,0,0,0.000
95,264.157,cpu_up_route,blk.3.ffn_up_exps.weight,166,4030464,0,0,0,0.000
96,264.157,cpu_gate_route,blk.3.ffn_gate_exps.weight,166,4030464,0,0,0,0.000
97,264.157,cpu_up_route,blk.3.ffn_up_exps.weight,233,4030464,0,0,0,0.000
98,264.157,cpu_gate_route,blk.3.ffn_gate_exps.weight,233,4030464,0,0,0,0.000
99,264.157,cpu_up_route,blk.3.ffn_up_exps.weight,15,4030464,0,0,0,0.000
100,264.157,cpu_gate_route,blk.3.ffn_gate_exps.weight,15,4030464,0,0,0,0.000
101,264.157,cpu_up_route,blk.3.ffn_up_exps.weight,174,4030464,0,0,0,0.000
102,264.157,cpu_gate_route,blk.3.ffn_gate_exps.weight,174,4030464,0,0,0,0.000
103,264.157,cpu_up_route,blk.3.ffn_up_exps.weight,11,4030464,0,0,0,0.000
104,264.157,cpu_gate_route,blk.3.ffn_gate_exps.weight,11,4030464,0,0,0,0.000
105,264.157,cpu_up_route,blk.3.ffn_up_exps.weight,163,4030464,0,0,0,0.000
106,264.157,cpu_gate_route,blk.3.ffn_gate_exps.weight,163,4030464,0,0,0,0.000
107,264.157,cpu_up_route,blk.3.ffn_up_exps.weight,41,4030464,0,0,0,0.000
108,264.158,cpu_gate_route,blk.3.ffn_gate_exps.weight,41,4030464,0,0,0,0.000
109,264.158,cpu_up_route,blk.3.ffn_up_exps.weight,26,4030464,0,0,0,0.000
110,264.158,cpu_gate_route,blk.3.ffn_gate_exps.weight,26,4030464,0,0,0,0.000
111,264.158,cpu_up_route,blk.3.ffn_up_exps.weight,166,4030464,0,0,0,0.000
112,264.158,cpu_gate_route,blk.3.ffn_gate_exps.weight,166,4030464,0,0,0,0.000
113,264.158,cpu_up_route,blk.3.ffn_up_exps.weight,233,4030464,0,0,0,0.000
114,264.158,cpu_gate_route,blk.3.ffn_gate_exps.weight,233,4030464,0,0,0,0.000
115,264.158,cpu_up_route,blk.3.ffn_up_exps.weight,15,4030464,0,0,0,0.000
116,264.158,cpu_gate_route,blk.3.ffn_gate_exps.weight,15,4030464,0,0,0,0.000
117,264.158,cpu_up_route,blk.3.ffn_up_exps.weight,174,4030464,0,0,0,0.000
