seq,expert_bytes,tensor_base,expert_idx,tensor
1,4030464,0x0,34,blk.77.ffn_up_exps.weight
2,4030464,0x0,34,blk.77.ffn_gate_exps.weight
3,4816896,0x0,34,blk.77.ffn_down_exps.weight
4,4030464,0x0,41,blk.3.ffn_up_exps.weight
5,4030464,0x0,41,blk.3.ffn_gate_exps.weight
6,4816896,0x0,41,blk.3.ffn_down_exps.weight
7,4030464,0x0,0,blk.4.ffn_up_exps.weight
8,4030464,0x0,0,blk.4.ffn_gate_exps.weight
9,4816896,0x0,0,blk.4.ffn_down_exps.weight
10,4030464,0x0,41,blk.5.ffn_up_exps.weight
11,4030464,0x0,41,blk.5.ffn_gate_exps.weight
12,4816896,0x0,41,blk.5.ffn_down_exps.weight
13,4030464,0x0,129,blk.6.ffn_up_exps.weight
14,4030464,0x0,129,blk.6.ffn_gate_exps.weight
15,4816896,0x0,129,blk.6.ffn_down_exps.weight
16,4030464,0x0,188,blk.7.ffn_up_exps.weight
17,4030464,0x0,188,blk.7.ffn_gate_exps.weight
18,4816896,0x0,188,blk.7.ffn_down_exps.weight
19,4030464,0x0,14,blk.8.ffn_up_exps.weight
20,4030464,0x0,14,blk.8.ffn_gate_exps.weight
21,4816896,0x0,14,blk.8.ffn_down_exps.weight
22,4030464,0x0,225,blk.9.ffn_up_exps.weight
23,4030464,0x0,225,blk.9.ffn_gate_exps.weight
24,4816896,0x0,225,blk.9.ffn_down_exps.weight
25,4030464,0x0,60,blk.10.ffn_up_exps.weight
26,4030464,0x0,60,blk.10.ffn_gate_exps.weight
27,4816896,0x0,60,blk.10.ffn_down_exps.weight
28,4030464,0x0,75,blk.11.ffn_up_exps.weight
29,4030464,0x0,75,blk.11.ffn_gate_exps.weight
30,4816896,0x0,75,blk.11.ffn_down_exps.weight
31,4030464,0x0,98,blk.12.ffn_up_exps.weight
32,4030464,0x0,98,blk.12.ffn_gate_exps.weight
33,4816896,0x0,98,blk.12.ffn_down_exps.weight
34,4030464,0x0,208,blk.13.ffn_up_exps.weight
35,4030464,0x0,208,blk.13.ffn_gate_exps.weight
36,4816896,0x0,208,blk.13.ffn_down_exps.weight
37,4030464,0x0,210,blk.14.ffn_up_exps.weight
38,4030464,0x0,210,blk.14.ffn_gate_exps.weight
39,4816896,0x0,210,blk.14.ffn_down_exps.weight
40,4030464,0x0,34,blk.15.ffn_up_exps.weight
41,4030464,0x0,34,blk.15.ffn_gate_exps.weight
42,4816896,0x0,34,blk.15.ffn_down_exps.weight
43,4030464,0x0,163,blk.16.ffn_up_exps.weight
44,4030464,0x0,163,blk.16.ffn_gate_exps.weight
45,4816896,0x0,163,blk.16.ffn_down_exps.weight
46,4030464,0x0,171,blk.17.ffn_up_exps.weight
47,4030464,0x0,171,blk.17.ffn_gate_exps.weight
48,4816896,0x0,171,blk.17.ffn_down_exps.weight
49,4030464,0x0,53,blk.18.ffn_up_exps.weight
50,4030464,0x0,53,blk.18.ffn_gate_exps.weight
51,4816896,0x0,53,blk.18.ffn_down_exps.weight
52,4030464,0x0,69,blk.19.ffn_up_exps.weight
53,4030464,0x0,69,blk.19.ffn_gate_exps.weight
54,4816896,0x0,69,blk.19.ffn_down_exps.weight
55,4030464,0x0,211,blk.20.ffn_up_exps.weight
56,4030464,0x0,211,blk.20.ffn_gate_exps.weight
57,4816896,0x0,211,blk.20.ffn_down_exps.weight
58,4030464,0x0,197,blk.21.ffn_up_exps.weight
59,4030464,0x0,197,blk.21.ffn_gate_exps.weight
60,4816896,0x0,197,blk.21.ffn_down_exps.weight
61,4030464,0x0,115,blk.22.ffn_up_exps.weight
62,4030464,0x0,115,blk.22.ffn_gate_exps.weight
63,4816896,0x0,115,blk.22.ffn_down_exps.weight
64,4030464,0x0,70,blk.23.ffn_up_exps.weight
65,4030464,0x0,70,blk.23.ffn_gate_exps.weight
66,4816896,0x0,70,blk.23.ffn_down_exps.weight
67,4030464,0x0,54,blk.24.ffn_up_exps.weight
68,4030464,0x0,54,blk.24.ffn_gate_exps.weight
69,4816896,0x0,54,blk.24.ffn_down_exps.weight
70,4030464,0x0,205,blk.25.ffn_up_exps.weight
71,4030464,0x0,205,blk.25.ffn_gate_exps.weight
72,4816896,0x0,205,blk.25.ffn_down_exps.weight
73,4030464,0x0,69,blk.26.ffn_up_exps.weight
74,4030464,0x0,69,blk.26.ffn_gate_exps.weight
75,4816896,0x0,69,blk.26.ffn_down_exps.weight
76,4030464,0x0,181,blk.27.ffn_up_exps.weight
77,4030464,0x0,181,blk.27.ffn_gate_exps.weight
78,4816896,0x0,181,blk.27.ffn_down_exps.weight
79,4030464,0x0,254,blk.28.ffn_up_exps.weight
80,4030464,0x0,254,blk.28.ffn_gate_exps.weight
81,4816896,0x0,254,blk.28.ffn_down_exps.weight
82,4030464,0x0,65,blk.29.ffn_up_exps.weight
83,4030464,0x0,65,blk.29.ffn_gate_exps.weight
84,4816896,0x0,65,blk.29.ffn_down_exps.weight
85,4030464,0x0,169,blk.30.ffn_up_exps.weight
86,4030464,0x0,169,blk.30.ffn_gate_exps.weight
87,4816896,0x0,169,blk.30.ffn_down_exps.weight
88,4030464,0x0,206,blk.31.ffn_up_exps.weight
89,4030464,0x0,206,blk.31.ffn_gate_exps.weight
90,4816896,0x0,206,blk.31.ffn_down_exps.weight
91,4030464,0x0,73,blk.32.ffn_up_exps.weight
92,4030464,0x0,73,blk.32.ffn_gate_exps.weight
93,4816896,0x0,73,blk.32.ffn_down_exps.weight
94,4030464,0x0,221,blk.33.ffn_up_exps.weight
95,4030464,0x0,221,blk.33.ffn_gate_exps.weight
96,4816896,0x0,221,blk.33.ffn_down_exps.weight
97,4030464,0x0,17,blk.34.ffn_up_exps.weight
98,4030464,0x0,17,blk.34.ffn_gate_exps.weight
99,4816896,0x0,17,blk.34.ffn_down_exps.weight
100,4030464,0x0,11,blk.35.ffn_up_exps.weight
101,4030464,0x0,11,blk.35.ffn_gate_exps.weight
102,4816896,0x0,11,blk.35.ffn_down_exps.weight
103,4030464,0x0,104,blk.36.ffn_up_exps.weight
104,4030464,0x0,104,blk.36.ffn_gate_exps.weight
105,4816896,0x0,104,blk.36.ffn_down_exps.weight
106,4030464,0x0,240,blk.37.ffn_up_exps.weight
107,4030464,0x0,240,blk.37.ffn_gate_exps.weight
108,4816896,0x0,240,blk.37.ffn_down_exps.weight
109,4030464,0x0,98,blk.38.ffn_up_exps.weight
110,4030464,0x0,98,blk.38.ffn_gate_exps.weight
111,4816896,0x0,98,blk.38.ffn_down_exps.weight
112,4030464,0x0,104,blk.39.ffn_up_exps.weight
113,4030464,0x0,104,blk.39.ffn_gate_exps.weight
114,4816896,0x0,104,blk.39.ffn_down_exps.weight
115,4030464,0x0,255,blk.40.ffn_up_exps.weight
116,4030464,0x0,255,blk.40.ffn_gate_exps.weight
117,4816896,0x0,255,blk.40.ffn_down_exps.weight
118,4030464,0x0,177,blk.41.ffn_up_exps.weight
119,4030464,0x0,177,blk.41.ffn_gate_exps.weight
120,4816896,0x0,177,blk.41.ffn_down_exps.weight
121,4030464,0x0,5,blk.42.ffn_up_exps.weight
122,4030464,0x0,5,blk.42.ffn_gate_exps.weight
123,4816896,0x0,5,blk.42.ffn_down_exps.weight
