prompt_id,token_rate,decode_runs,decode_s,iouring_gib,iouring_gib_s,iouring_reads,direct_reads,iouring_read_ratio,direct_read_ratio,iouring_wait_s,iouring_wait_per_read_ms,iouring_inflight_avg,iouring_inflight_max,upgate_hit_rate,down_hit_rate,overlap_planned_jobs,overlap_completed_jobs,memory_peak_gib,quality
dev_france_regression,1.26,77,61.014540000000004,293.7202606201172,4.813938786068324,56535,2229,0.9620686134367981,0.03793138656320196,52.397225,0.9268103829486158,3.39,8,0.441,0.73,9199,9199,14.808025360107422,pass
dev_japan_factual,0.42,85,202.57474,136.72879028320312,0.6749547859876465,26186,26007,0.5017147893395666,0.4982852106604334,26.679436,1.0188435041625297,3.29,8,0.447,0.733,9987,9987,14.808025360107422,pass
dev_linear_equation,0.16,34,218.56607,12.859146118164062,0.058834137055966934,2443,16872,0.12648200880144966,0.8735179911985503,2.391692,0.9789979533360622,3.8,8,0.26,0.6579999999999999,5755,5755,14.808025360107422,pass
dev_mixed_summary,0.2,54,266.89143,32.06353759765625,0.12013700701313731,6079,23826,0.20327704397257984,0.7967229560274202,6.673322,1.0977664089488404,3.5,8,0.363,0.695,7415,7415,14.808025360107422,pass
dev_photosynthesis_factual,0.24,94,393.77393,62.765655517578125,0.15939515223259731,11965,36641,0.2461630251409291,0.7538369748590709,13.517011,1.1297125783535311,3.29,8,0.409,0.7190000000000001,12435,12435,14.808025360107422,pass
dev_python_reverse,0.17,95,566.5527099999999,33.28108215332031,0.0587431346914223,6275,40761,0.13340845309975338,0.8665915469002466,6.939047,1.1058242231075697,3.21,8,0.358,0.6990000000000001,13982,13982,14.808025360107422,pass
dev_zh_france,0.38,49,128.86189,58.29997253417969,0.45242214384857843,11216,15188,0.4247841236176337,0.5752158763823663,11.866095,1.0579613944365192,3.09,8,0.47100000000000003,0.741,5419,5419,14.808025360107422,pass
