1781581007962,44, 32068, 0
1781581008997,44, 32068, 0
1781581010118,44, 32068, 0
1781581011224,1059, 31053, 2
1781581012267,1571, 30541, 5
1781581013370,2339, 29773, 5
1781581014411,2851, 29261, 2
1781581015464,3621, 28491, 2
1781581016527,4133, 27979, 6
1781581017564,4901, 27211, 6
1781581018591,6181, 25931, 7
1781581019622,6437, 25675, 0
1781581020644,6949, 25163, 3
1781581021665,7717, 24395, 3
1781581022687,8741, 23371, 5
1781581023711,10524, 21588, 6
1781581024785,11036, 21076, 12
1781581025834,1571, 30541, 4
1781581026854,1571, 30541, 0
1781581027873,1827, 30285, 0
1781581028899,2595, 29517, 5
1781581029932,3621, 28491, 10
1781581030959,4133, 27979, 0
1781581031980,5157, 26955, 11
1781581033007,7461, 24651, 12
1781581034035,9253, 22859, 9
1781581035061,9509, 22603, 0
1781581036082,9509, 22603, 0
1781581037102,9765, 22347, 0
1781581041156,10277, 21835, 0
