budget_mib,resident_gib,selected_entries,selected_calls,selected_traffic_gib,optimistic_saved_ms_per_token,optimistic_tok_s,conservative_saved_ms_per_token,conservative_tok_s
1024,0.9960174560546875,193,2022,10.892318725585938,153.0181085322581,1.9936507195204698,145.69800186183747,1.964974401987765
2048,1.99737548828125,381,3742,20.320785522460938,262.8547985806452,2.5526113277945655,249.19835669727092,2.4666257691190254
4096,3.9957122802734375,764,6742,36.37605285644531,439.3807700483873,4.646198623041086,414.9344979674429,4.172299516074687
6144,5.996612548828125,1146,9347,50.29872131347656,585.3341270967744,14.434939228393683,551.5312229882552,9.701272510460061
8192,7.99847412109375,1523,11591,62.43721008300781,712.007490887097,62000.0,670.0470002399144,62000.0
10240,9.99627685546875,1913,13662,73.23104858398438,825.7440007419364,62000.0,776.5295863709791,62000.0
