prompt,path,window_size,history_depth,trace_events,windows_evaluated,actual_bytes,covered_bytes,false_bytes,byte_coverage,event_coverage,false_prefetch_ratio,net_byte_multiplier,avg_predicted_unique,avg_actual_unique
dev_japan_factual,.Agent/runs/20260707-gp4-aligned-alias-dev-n96-profile-correct/dev_japan_factual/route-trace.csv,512,4,117664,229,652982091776,249385385984,2024291827712,0.3819176500012646,0.38248600109259767,3.1000725030701397,4.100072503070139,1781.2838427947597,511.5807860262009
dev_japan_factual,.Agent/runs/20260707-gp4-aligned-alias-dev-n96-profile-correct/dev_japan_factual/route-trace.csv,1024,1,117664,114,650119479296,162617491456,487939637248,0.2501347777366937,0.2505744170096022,0.7505384053041743,1.7505384053041744,1024.0,1023.1578947368421
dev_japan_factual,.Agent/runs/20260707-gp4-aligned-alias-dev-n96-profile-correct/dev_japan_factual/route-trace.csv,1024,2,117664,114,650119479296,261781667840,872265089024,0.4026670114906841,0.4032321673525377,1.3416996672189496,2.3416996672189496,1784.5877192982457,1023.1578947368421
dev_japan_factual,.Agent/runs/20260707-gp4-aligned-alias-dev-n96-profile-correct/dev_japan_factual/route-trace.csv,1024,4,117664,114,650119479296,329488990208,1525952282624,0.5068129793077364,0.5073902606310013,2.3471874497229646,3.3471874497229646,2918.9561403508774,1023.1578947368421
dev_japan_factual,.Agent/runs/20260707-gp4-aligned-alias-dev-n96-profile-correct/dev_japan_factual/route-trace.csv,1536,1,117664,76,647186219008,246690791424,392894824448,0.3811743578256734,0.3817167263709011,0.60708156772903,1.60708156772903,1477.5657894736842,1470.2236842105262
dev_japan_factual,.Agent/runs/20260707-gp4-aligned-alias-dev-n96-profile-correct/dev_japan_factual/route-trace.csv,1536,2,117664,76,647186219008,297046851584,731490500608,0.45898204080938276,0.4594929732708735,1.1302627885513703,2.1302627885513705,2389.342105263158,1470.2236842105262
dev_japan_factual,.Agent/runs/20260707-gp4-aligned-alias-dev-n96-profile-correct/dev_japan_factual/route-trace.csv,1536,4,117664,76,647186219008,355913793536,1299241975808,0.5499403156042797,0.5504012813447231,2.007524167927222,3.007524167927222,3862.2894736842104,1470.2236842105262
dev_japan_factual,.Agent/runs/20260707-gp4-aligned-alias-dev-n96-profile-correct/dev_japan_factual/route-trace.csv,2048,1,117664,57,644401594368,242424741888,372151091200,0.376201337809785,0.3765655272626626,0.5775142309587067,1.5775142309587067,1788.561403508772,1772.1929824561403
dev_japan_factual,.Agent/runs/20260707-gp4-aligned-alias-dev-n96-profile-correct/dev_japan_factual/route-trace.csv,2048,2,117664,57,644401594368,312722866176,677103501312,0.48529188771282367,0.48578916412953227,1.0507477126528102,2.05074771265281,2930.8245614035086,1772.1929824561403
dev_japan_factual,.Agent/runs/20260707-gp4-aligned-alias-dev-n96-profile-correct/dev_japan_factual/route-trace.csv,2048,4,117664,57,644401594368,366741716992,1191040499712,0.5691198162718448,0.569428106836424,1.848289188173283,2.848289188173283,4700.7192982456145,1772.1929824561403
dev_linear_equation,.Agent/runs/20260707-gp4-aligned-alias-dev-n96-profile-correct/dev_linear_equation/route-trace.csv,256,1,47080,183,260982177792,0,261044568064,0.0,0.0,1.000239059511756,2.000239059511756,256.0,255.86885245901638
dev_linear_equation,.Agent/runs/20260707-gp4-aligned-alias-dev-n96-profile-correct/dev_linear_equation/route-trace.csv,256,2,47080,183,260982177792,0,520670674944,0.0,0.0,1.995043030712116,2.9950430307121163,510.60109289617486,255.86885245901638
dev_linear_equation,.Agent/runs/20260707-gp4-aligned-alias-dev-n96-profile-correct/dev_linear_equation/route-trace.csv,256,4,47080,183,260982177792,0,1035641815040,0.0,0.0,3.9682472719091013,4.968247271909101,1015.6065573770492,255.86885245901638
dev_linear_equation,.Agent/runs/20260707-gp4-aligned-alias-dev-n96-profile-correct/dev_linear_equation/route-trace.csv,512,1,47080,91,259595829248,0,259626106880,0.0,0.0,1.0001166337382528,2.0001166337382528,512.0,511.7362637362637
