call,seq_id,pos,n_tokens,n_seq_tokens,source_layer,target_layer,kind,topk,ne0,ne1,record_us,values
1,0,18,1,1,37,38,pred,4,4,1,970,32|56|138|314
1,0,18,1,1,37,37,actual,8,8,1,970,111|357|333|116|100|121|352|243
1,0,18,1,1,38,39,pred,4,4,1,970,378|322|84|136
1,0,18,1,1,38,38,actual,8,8,1,970,32|56|138|220|232|314|189|9
1,0,18,1,1,39,40,pred,4,4,1,970,339|48|156|0
1,0,18,1,1,39,39,actual,8,8,1,970,378|136|322|84|209|261|282|148
1,0,18,1,1,40,41,pred,4,4,1,970,179|335|27|367
1,0,18,1,1,40,40,actual,8,8,1,970,339|48|156|238|0|185|340|285
1,0,18,1,1,41,42,pred,4,4,1,970,345|270|304|87
1,0,18,1,1,41,41,actual,8,8,1,970,179|335|27|367|61|243|248|104
1,0,18,1,1,42,43,pred,4,4,1,970,259|230|203|382
1,0,18,1,1,42,42,actual,8,8,1,970,345|270|304|35|383|87|192|352
1,0,18,1,1,43,44,pred,4,4,1,970,7|81|231|195
1,0,18,1,1,43,43,actual,8,8,1,970,259|230|203|382|129|332|178|239
1,0,18,1,1,44,45,pred,4,4,1,970,39|11|177|26
1,0,18,1,1,44,44,actual,8,8,1,970,7|81|231|274|195|252|170|128
1,0,18,1,1,45,46,pred,4,4,1,970,176|270|269|96
1,0,18,1,1,45,45,actual,8,8,1,970,39|11|177|315|26|73|214|216
1,0,18,1,1,46,47,pred,4,4,1,970,121|381|0|4
1,0,18,1,1,46,46,actual,8,8,1,970,176|270|269|96|325|163|85|304
1,0,18,1,1,47,48,pred,4,4,1,970,173|21|308|340
1,0,18,1,1,47,47,actual,8,8,1,970,121|381|0|4|217|63|48|319
1,0,18,1,1,48,49,pred,4,4,1,970,32|102|236|274
1,0,18,1,1,48,48,actual,8,8,1,970,173|340|308|21|101|95|194|383
1,0,18,1,1,49,50,pred,4,4,1,970,53|287|274|336
1,0,18,1,1,49,49,actual,8,8,1,970,32|102|236|274|320|357|239|119
1,0,18,1,1,50,51,pred,4,4,1,970,72|150|255|170
